ResSimPath,Download_Key,Source
//ASTO/ELEV-TIDE//1HOUR/CWMS/,ASTO.Elev-Tide.Inst.6Minutes.0.NOAA-RAW,CWMS
//BLU/FLOW-IN//1HOUR/CWMS/,BLU.Flow-In.Ave.15Minutes.3Hours.MIXED-COMPUTED-REV,CWMS
//BON/ELEV-FOREBAY//1HOUR/CWMS/,BON.Elev-Forebay.Ave.1Hour.1Hour.GDACS-COMPUTED-REV,CWMS
//CGR/FLOW-IN//1HOUR/CWMS/,CGR.Flow-In.Ave.15Minutes.3Hours.MIXED-COMPUTED-REV,CWMS
//COT/FLOW-IN//1HOUR/CWMS/,COT.Flow-In.Ave.15Minutes.3Hours.MIXED-COMPUTED-REV,CWMS
//DET/FLOW-IN//1HOUR/CWMS/,DET.Flow-In.Ave.1Hour.3Hours.CBT-COMPUTED-REV,CWMS
//DET/FLOW-OUT//1HOUR/CWMS/,DET.Flow-Out.Ave.1Hour.1Hour.CBT-REV,CWMS
//DOR/FLOW-IN//1HOUR/CWMS/,DOR.Flow-In.Ave.15Minutes.3Hours.MIXED-COMPUTED-REV,CWMS
//EUGO/FLOW//1HOUR/CWMS/,EUGO.Flow.Inst.0.0.MIXED-COMPUTED-REV,CWMS
//FAL/FLOW-IN//1HOUR/CWMS/,FAL.Flow-In.Ave.15Minutes.3Hours.MIXED-COMPUTED-REV,CWMS
//FOS/FLOW-IN//1HOUR/CWMS/,FOS.Flow-In.Ave.15Minutes.3Hours.MIXED-COMPUTED-REV,CWMS
//FOS/FLOW-OUT//1HOUR/CWMS/,FOS.Flow-Out.Ave.1Hour.1Hour.CBT-REV,CWMS
"/SOUTH YAMHILL RIVER AT MCMINNVILLE, OR/14194150/FLOW//1HOUR/USGS/",14194150,USGS
"/TUALATIN RIVER AT WEST LINN, OR/14207500/FLOW//1HOUR/USGS/",14207500,USGS
"/TUALATIN RIVER NEAR DILLEY, OR/14203500/FLOW//1HOUR/USGS/",14203500,USGS
"/UMATILLA RIVER NEAR UMATILLA, OR/14033500/FLOW//1HOUR/USGS/",14033500,USGS
"/WHITE SALMON RIVER NEAR UNDERWOOD, WA/14123500/FLOW//1HOUR/USGS/",14123500,USGS
"/WILLAMETTE RIVER AT ALBANY, OR/14174000/FLOW//1HOUR/USGS/",14174000,USGS
"/WILLAMETTE RIVER AT HARRISBURG, OR/14166000/FLOW//1HOUR/USGS/",14166000,USGS
"/WILLAMETTE RIVER AT NEWBERG, OR/14197900/FLOW//1HOUR/USGS/",14197900,USGS
"/WILLAMETTE RIVER AT SALEM, OR/14191000/FLOW//1HOUR/USGS/",14191000,USGS
