Date,COTTAGE GROVE,DORENA,FERN RIDGE,BLUE RIVER,COUGAR,FALL CREEK,HILLS CREEK,LOOKOUT POINT,DETROIT,FOSTER
###############################################################################################################################################################################################################################################################,750.10,770.54,353.12,1180.13,1532.03,728.04,1448.01,825.01,1450.01,613.0
01Jan1900,750.10,770.54,353.12,1180.13,1532.03,728.04,1448.01,825.01,1450.01,613.0
02Jan1900,750.10,770.54,353.12,1180.13,1532.03,728.04,1448.01,825.01,1450.01,613.0
03Jan1900,750.10,770.54,353.12,1180.13,1532.03,728.04,1448.01,825.01,1450.01,613.0
04Jan1900,750.10,770.54,353.12,1180.13,1532.03,728.04,1448.01,825.01,1450.01,613.0
05Jan1900,750.10,770.54,353.12,1180.13,1532.03,728.04,1448.01,825.01,1450.01,613.0
06Jan1900,750.10,770.54,353.12,1180.13,1532.03,728.04,1448.01,825.01,1450.01,613.0
07Jan1900,750.10,770.54,353.12,1180.13,1532.03,728.04,1448.01,825.01,1450.01,613.0
08Jan1900,750.10,770.54,353.12,1180.13,1532.03,728.04,1448.01,825.01,1450.01,613.0
09Jan1900,750.10,770.54,353.12,1180.13,1532.03,728.04,1448.01,825.01,1450.01,613.0
10Jan1900,750.10,770.54,353.12,1180.13,1532.03,728.04,1448.01,825.01,1450.01,613.0
11Jan1900,750.10,770.54,353.12,1180.13,1532.03,728.04,1448.01,825.01,1450.01,613.0
12Jan1900,750.10,770.54,353.12,1180.13,1532.03,728.04,1448.01,825.01,1450.01,613.0
13Jan1900,750.10,770.54,353.12,1180.13,1532.03,728.04,1448.01,825.01,1450.01,613.0
14Jan1900,750.10,770.54,353.12,1180.13,1532.03,728.04,1448.01,825.01,1450.01,613.0
15Jan1900,750.10,770.54,353.12,1180.13,1532.03,728.04,1448.01,825.01,1450.01,613.0
16Jan1900,750.10,770.54,353.12,1180.13,1532.03,728.04,1448.01,825.01,1450.01,613.0
17Jan1900,750.10,770.54,353.12,1180.13,1532.03,728.04,1448.01,825.01,1450.01,613.0
18Jan1900,750.10,770.54,353.12,1180.13,1532.03,728.04,1448.01,825.01,1450.01,613.0
19Jan1900,750.10,770.54,353.12,1180.13,1532.03,728.04,1448.01,825.01,1450.01,613.0
20Jan1900,750.10,770.54,353.12,1180.13,1532.03,728.04,1448.01,825.01,1450.01,613.0
21Jan1900,750.10,770.54,353.12,1180.13,1532.03,728.04,1448.01,825.01,1450.01,613.0
22Jan1900,750.10,770.54,353.12,1180.13,1532.03,728.04,1448.01,825.01,1450.01,613.0
23Jan1900,750.10,770.54,353.12,1180.13,1532.03,728.04,1448.01,825.01,1450.01,613.0
24Jan1900,750.10,770.54,353.12,1180.13,1532.03,728.04,1448.01,825.01,1450.01,613.0
25Jan1900,750.10,770.54,353.12,1180.13,1532.03,728.04,1448.01,825.01,1450.01,613.0
26Jan1900,750.10,770.54,353.12,1180.13,1532.03,728.04,1448.01,825.01,1450.01,613.0
27Jan1900,750.10,770.54,353.12,1180.13,1532.03,728.04,1448.01,825.01,1450.01,613.0
