ResSimPath,Download_Key,Source
"/BIG CLIFF LAKE NEAR NIAGARA, OR/14181400/ELEV-FOREBAY//1HOUR/USGS/",14181400,USGS
"/BLUE RIVER LAKE NEAR BLUE RIVER, OR/14162100/ELEV-FOREBAY//1HOUR/USGS/",14162100,USGS
"/COTTAGE GROVE LAKE NR COTTAGE GROVE, OR/14153000/ELEV-FOREBAY//1HOUR/USGS/",14153000,USGS
"/COUGAR LAKE NEAR RAINBOW, OR/14159400/ELEV-FOREBAY//1HOUR/USGS/",14159400,USGS
"/DETROIT LAKE NEAR DETROIT, OR/14180500/ELEV-FOREBAY//1HOUR/USGS/",14180500,USGS
"/DEXTER LAKE AT DEXTER, OR/14149500/ELEV-FOREBAY//1HOUR/USGS/",14149500,USGS
"/DORENA LAKE NEAR COTTAGE GROVE, OR/14155000/ELEV-FOREBAY//1HOUR/USGS/",14155000,USGS
"/FALL CREEK LAKE NEAR LOWELL, OR/14150900/ELEV-FOREBAY//1HOUR/USGS/",14150900,USGS
"/FERN RIDGE LAKE NEAR ELMIRA, OR/14168000/ELEV-FOREBAY//1HOUR/USGS/",14168000,USGS
"/FOSTER LAKE AT FOSTER, OR/14186600/ELEV-FOREBAY//1HOUR/USGS/",14186600,USGS
"/GREEN PETER LAKE NEAR FOSTER, OR/14186100/ELEV-FOREBAY//1HOUR/USGS/",14186100,USGS
"/HILLS CREEK LAKE NEAR OAKRIDGE, OR/14145100/ELEV-FOREBAY//1HOUR/USGS/",14145100,USGS
"/LOOKOUT POINT LAKE NEAR LOWELL, OR/14149000/ELEV-FOREBAY//1HOUR/USGS/",14149000,USGS
