date,elev_observed_ft,elev_adjusted_ft,storage_observed_af,storage_adjusted_af,demand_cfs,cumulative_withdrawal_af,elev_change_ft,at_rating_floor
2015-01-01,786.03,786.03,16621.0,16621.0,0.0,0.0,0.0,False
2015-01-02,778.73,778.73,11738.0,11738.0,0.0,0.0,0.0,False
2015-01-03,774.2,774.2,9100.0,9100.0,0.0,0.0,0.0,False
2015-01-04,772.02,772.02,7910.0,7910.0,0.0,0.0,0.0,False
2015-01-05,771.5,771.5,7650.0,7650.0,0.0,0.0,0.0,False
2015-01-06,771.89,771.89,7845.0,7845.0,0.0,0.0,0.0,False
2015-01-07,772.39,772.39,8095.0,8095.0,0.0,0.0,0.0,False
2015-01-08,772.51,772.51,8155.0,8155.0,0.0,0.0,0.0,False
2015-01-09,772.27,772.27,8035.0,8035.0,0.0,0.0,0.0,False
2015-01-10,771.76,771.76,7780.0,7780.0,0.0,0.0,0.0,False
2015-01-11,771.16,771.16,7480.0,7480.0,0.0,0.0,0.0,False
2015-01-12,770.88,770.88,7328.0,7328.0,0.0,0.0,0.0,False
2015-01-13,770.68,770.68,7208.0,7208.0,0.0,0.0,0.0,False
2015-01-14,770.29,770.29,6974.0,6974.0,0.0,0.0,0.0,False
2015-01-15,769.77,769.77,6685.0,6685.0,0.0,0.0,0.0,False
2015-01-16,772.51,772.51,8155.0,8155.0,0.0,0.0,0.0,False
2015-01-17,775.36,775.36,9716.0,9716.0,0.0,0.0,0.0,False
2015-01-18,782.57,782.57,14199.0,14199.0,0.0,0.0,0.0,False
2015-01-19,784.0,784.0,15200.0,15200.0,0.0,0.0,0.0,False
2015-01-20,783.5,783.5,14850.0,14850.0,0.0,0.0,0.0,False
2015-01-21,782.73,782.73,14311.0,14311.0,0.0,0.0,0.0,False
2015-01-22,781.73,781.73,13638.0,13638.0,0.0,0.0,0.0,False
2015-01-23,780.7,780.7,12990.0,12990.0,0.0,0.0,0.0,False
2015-01-24,779.78,779.78,12368.0,12368.0,0.0,0.0,0.0,False
2015-01-25,779.17,779.17,12002.0,12002.0,0.0,0.0,0.0,False
2015-01-26,778.72,778.72,11732.0,11732.0,0.0,0.0,0.0,False
2015-01-27,778.56,778.56,11636.0,11636.0,0.0,0.0,0.0,False
2015-01-28,778.33,778.33,11498.0,11498.0,0.0,0.0,0.0,False
2015-01-29,778.05,778.05,11330.0,11330.0,0.0,0.0,0.0,False
2015-01-30,777.83,777.83,11198.0,11198.0,0.0,0.0,0.0,False
2015-01-31,777.63,777.63,11078.0,11078.0,0.0,0.0,0.0,False
2015-02-01,777.49,777.49,10994.0,10994.0,0.0,0.0,0.0,False
2015-02-02,777.6,777.6,11060.0,11060.0,0.0,0.0,0.0,False
2015-02-03,778.53,778.53,11618.0,11618.0,0.0,0.0,0.0,False
2015-02-04,778.68,778.68,11708.0,11708.0,0.0,0.0,0.0,False
2015-02-05,777.1,777.1,10760.0,10760.0,0.0,0.0,0.0,False
2015-02-06,778.47,778.47,11582.0,11582.0,0.0,0.0,0.0,False
2015-02-07,787.13,787.13,17391.0,17391.0,0.0,0.0,0.0,False
2015-02-08,788.65,788.65,18520.0,18520.0,0.0,0.0,0.0,False
2015-02-09,787.82,787.82,17874.0,17874.0,0.0,0.0,0.0,False
2015-02-10,786.7,786.7,17090.0,17090.0,0.0,0.0,0.0,False
2015-02-11,785.56,785.56,16292.0,16292.0,0.0,0.0,0.0,False
2015-02-12,785.08,785.08,15956.0,15956.0,0.0,0.0,0.0,False
2015-02-13,784.82,784.82,15774.0,15774.0,0.0,0.0,0.0,False
2015-02-14,784.46,784.46,15522.0,15522.0,0.0,0.0,0.0,False
2015-02-15,784.2,784.2,15340.0,15340.0,0.0,0.0,0.0,False
2015-02-16,784.16,784.16,15312.0,15312.0,0.0,0.0,0.0,False
2015-02-17,784.47,784.47,15529.0,15529.0,0.0,0.0,0.0,False
2015-02-18,784.84,784.84,15788.0,15788.0,0.0,0.0,0.0,False
2015-02-19,785.17,785.17,16019.0,16019.0,0.0,0.0,0.0,False
2015-02-20,785.48,785.48,16236.0,16236.0,0.0,0.0,0.0,False
2015-02-21,785.76,785.76,16432.0,16432.0,0.0,0.0,0.0,False
2015-02-22,785.98,785.98,16586.0,16586.0,0.0,0.0,0.0,False
2015-02-23,786.16,786.16,16712.0,16712.0,0.0,0.0,0.0,False
2015-02-24,786.29,786.29,16803.0,16803.0,0.0,0.0,0.0,False
2015-02-25,786.38,786.38,16866.0,16866.0,0.0,0.0,0.0,False
2015-02-26,786.52,786.52,16964.0,16964.0,0.0,0.0,0.0,False
2015-02-27,787.14,787.14,17398.0,17398.0,0.0,0.0,0.0,False
2015-02-28,787.95,787.95,17965.0,17965.0,0.0,0.0,0.0,False
2015-03-01,788.4,788.4,18320.0,18320.0,0.0,0.0,0.0,False
2015-03-02,788.72,788.72,18576.0,18576.0,0.0,0.0,0.0,False
2015-03-03,788.96,788.96,18768.0,18768.0,0.0,0.0,0.0,False
2015-03-04,789.12,789.12,18896.0,18896.0,0.0,0.0,0.0,False
2015-03-05,789.25,789.25,19000.0,19000.0,0.0,0.0,0.0,False
2015-03-06,789.33,789.33,19064.0,19064.0,0.0,0.0,0.0,False
2015-03-07,789.39,789.39,19112.0,19112.0,0.0,0.0,0.0,False
2015-03-08,789.43,789.43,19144.0,19144.0,0.0,0.0,0.0,False
2015-03-09,789.44,789.44,19152.0,19152.0,0.0,0.0,0.0,False
2015-03-10,789.43,789.43,19144.0,19144.0,0.0,0.0,0.0,False
2015-03-11,789.5,789.5,19200.0,19200.0,0.0,0.0,0.0,False
2015-03-12,789.55,789.55,19240.0,19240.0,0.0,0.0,0.0,False
2015-03-13,789.55,789.55,19240.0,19240.0,0.0,0.0,0.0,False
2015-03-14,789.59,789.59,19272.0,19272.0,0.0,0.0,0.0,False
2015-03-15,790.18,790.18,19744.0,19744.0,0.0,0.0,0.0,False
2015-03-16,791.16,791.16,20528.0,20528.0,0.0,0.0,0.0,False
2015-03-17,791.72,791.72,20976.0,20976.0,0.0,0.0,0.0,False
2015-03-18,792.09,792.09,21272.0,21272.0,0.0,0.0,0.0,False
2015-03-19,792.36,792.36,21488.0,21488.0,0.0,0.0,0.0,False
2015-03-20,792.6,792.6,21680.0,21680.0,0.0,0.0,0.0,False
2015-03-21,792.9,792.9,21920.0,21920.0,0.0,0.0,0.0,False
2015-03-22,793.29,793.29,22261.0,22261.0,0.0,0.0,0.0,False
2015-03-23,794.19,794.19,23071.0,23071.0,0.0,0.0,0.0,False
2015-03-24,796.45,796.45,25105.0,25105.0,0.0,0.0,0.0,False
2015-03-25,797.99,797.99,26491.0,26491.0,0.0,0.0,0.0,False
2015-03-26,798.98,798.98,27480.0,27480.0,0.0,0.0,0.0,False
2015-03-27,799.71,799.71,28210.0,28210.0,0.0,0.0,0.0,False
2015-03-28,800.36,800.36,28860.0,28860.0,0.0,0.0,0.0,False
2015-03-29,800.84,800.84,29340.0,29340.0,0.0,0.0,0.0,False
2015-03-30,801.2,801.2,29700.0,29700.0,0.0,0.0,0.0,False
2015-03-31,801.75,801.75,30250.0,30250.0,0.0,0.0,0.0,False
2015-04-01,802.58,802.58,31138.0,31138.0,0.0,0.0,0.0,False
2015-04-02,803.39,803.39,31990.0,31990.0,0.0,0.0,0.0,False
2015-04-03,804.14,804.14,32754.0,32754.0,0.0,0.0,0.0,False
2015-04-04,804.88,804.88,33568.0,33568.0,0.0,0.0,0.0,False
2015-04-05,805.54,805.54,34294.0,34294.0,0.0,0.0,0.0,False
2015-04-06,806.19,806.19,35009.0,35009.0,0.0,0.0,0.0,False
2015-04-07,806.79,806.79,35669.0,35669.0,0.0,0.0,0.0,False
2015-04-08,807.95,807.95,37040.0,37040.0,0.0,0.0,0.0,False
2015-04-09,809.04,809.04,38248.0,38248.0,0.0,0.0,0.0,False
2015-04-10,809.9,809.9,39280.0,39280.0,0.0,0.0,0.0,False
2015-04-11,810.69,810.69,40228.0,40228.0,0.0,0.0,0.0,False
2015-04-12,811.4,811.4,41080.0,41080.0,0.0,0.0,0.0,False
2015-04-13,812.1,812.1,41930.0,41930.0,0.0,0.0,0.0,False
2015-04-14,813.24,813.24,43388.0,43388.0,0.0,0.0,0.0,False
2015-04-15,814.62,814.62,45106.0,45106.0,0.0,0.0,0.0,False
2015-04-16,815.91,815.91,46783.0,46783.0,0.0,0.0,0.0,False
2015-04-17,817.15,817.15,48510.0,48510.0,0.0,0.0,0.0,False
2015-04-18,818.12,818.12,49868.0,49868.0,0.0,0.0,0.0,False
2015-04-19,818.87,818.87,50918.0,50918.0,0.0,0.0,0.0,False
2015-04-20,819.45,819.45,51730.0,51730.0,0.0,0.0,0.0,False
2015-04-21,819.91,819.91,52374.0,52374.0,0.0,0.0,0.0,False
2015-04-22,820.29,820.29,52906.0,52906.0,0.0,0.0,0.0,False
2015-04-23,820.66,820.66,53424.0,53424.0,0.0,0.0,0.0,False
2015-04-24,821.03,821.03,53945.0,53945.0,0.0,0.0,0.0,False
2015-04-25,821.43,821.43,54545.0,54545.0,0.0,0.0,0.0,False
2015-04-26,821.8,821.8,55100.0,55100.0,0.0,0.0,0.0,False
2015-04-27,822.26,822.26,55790.0,55790.0,0.0,0.0,0.0,False
2015-04-28,822.58,822.58,56270.0,56270.0,0.0,0.0,0.0,False
2015-04-29,822.87,822.87,56705.0,56705.0,0.0,0.0,0.0,False
2015-04-30,823.12,823.12,57092.0,57092.0,0.0,0.0,0.0,False
2015-05-01,823.26,823.26,57316.0,57316.0,29.0,0.0,0.0,False
2015-05-02,823.33,823.294,57428.0,57370.479,29.0,57.521,-0.036,False
2015-05-03,823.37,823.298,57492.0,57376.959,29.0,115.041,-0.072,False
2015-05-04,823.4,823.292,57540.0,57367.438,29.0,172.562,-0.108,False
2015-05-05,823.4,823.256,57540.0,57309.917,29.0,230.083,-0.144,False
2015-05-06,823.39,823.21,57524.0,57236.397,29.0,287.603,-0.18,False
2015-05-07,823.36,823.144,57476.0,57130.876,29.0,345.124,-0.216,False
2015-05-08,823.33,823.078,57428.0,57025.355,29.0,402.645,-0.252,False
2015-05-09,823.27,822.981,57332.0,56871.835,29.0,460.165,-0.289,False
2015-05-10,823.22,822.89,57252.0,56734.314,29.0,517.686,-0.33,False
