date,elev_observed_ft,elev_adjusted_ft,storage_observed_af,storage_adjusted_af,demand_cfs,cumulative_withdrawal_af,elev_change_ft,at_rating_floor,elev_rule_ft
2016-01-01,785.14,785.14,15998.0,15998.0,0.0,0.0,0.0,False,770.54
2016-01-02,782.32,782.32,14024.0,14024.0,0.0,0.0,0.0,False,770.54
2016-01-03,779.78,779.78,12368.0,12368.0,0.0,0.0,0.0,False,770.54
2016-01-04,777.23,777.23,10838.0,10838.0,0.0,0.0,0.0,False,770.54
2016-01-05,775.9,775.9,10040.0,10040.0,0.0,0.0,0.0,False,770.54
2016-01-06,775.26,775.26,9656.0,9656.0,0.0,0.0,0.0,False,770.54
2016-01-07,773.97,773.97,8982.0,8982.0,0.0,0.0,0.0,False,770.54
2016-01-08,771.93,771.93,7865.0,7865.0,0.0,0.0,0.0,False,770.54
2016-01-09,771.28,771.28,7540.0,7540.0,0.0,0.0,0.0,False,770.54
2016-01-10,770.92,770.92,7352.0,7352.0,0.0,0.0,0.0,False,770.54
2016-01-11,770.44,770.44,7064.0,7064.0,0.0,0.0,0.0,False,770.54
2016-01-12,773.08,773.08,8448.0,8448.0,0.0,0.0,0.0,False,770.54
2016-01-13,778.81,778.81,11786.0,11786.0,0.0,0.0,0.0,False,770.54
2016-01-14,782.11,782.11,13877.0,13877.0,0.0,0.0,0.0,False,770.54
2016-01-15,782.93,782.93,14451.0,14451.0,0.0,0.0,0.0,False,770.54
2016-01-16,784.28,784.28,15396.0,15396.0,0.0,0.0,0.0,False,770.54
2016-01-17,788.9,788.9,18720.0,18720.0,0.0,0.0,0.0,False,770.54
2016-01-18,792.27,792.27,21416.0,21416.0,0.0,0.0,0.0,False,770.54
2016-01-19,794.62,794.62,23458.0,23458.0,0.0,0.0,0.0,False,770.54
2016-01-20,797.48,797.48,26032.0,26032.0,0.0,0.0,0.0,False,770.54
2016-01-21,795.72,795.72,24448.0,24448.0,0.0,0.0,0.0,False,770.54
2016-01-22,792.38,792.38,21504.0,21504.0,0.0,0.0,0.0,False,770.54
2016-01-23,788.56,788.56,18448.0,18448.0,0.0,0.0,0.0,False,770.54
2016-01-24,784.75,784.75,15725.0,15725.0,0.0,0.0,0.0,False,770.54
2016-01-25,781.77,781.77,13662.0,13662.0,0.0,0.0,0.0,False,770.54
2016-01-26,778.63,778.63,11678.0,11678.0,0.0,0.0,0.0,False,770.54
2016-01-27,775.61,775.61,9866.0,9866.0,0.0,0.0,0.0,False,770.54
2016-01-28,775.63,775.63,9878.0,9878.0,0.0,0.0,0.0,False,770.54
2016-01-29,778.36,778.36,11516.0,11516.0,0.0,0.0,0.0,False,770.54
2016-01-30,781.2,781.2,13320.0,13320.0,0.0,0.0,0.0,False,770.54
2016-01-31,781.96,781.96,13776.0,13776.0,0.0,0.0,0.0,False,771.58
2016-02-01,780.88,780.88,13116.0,13116.0,0.0,0.0,0.0,False,772.41
2016-02-02,779.91,779.91,12446.0,12446.0,0.0,0.0,0.0,False,773.25
2016-02-03,779.28,779.28,12068.0,12068.0,0.0,0.0,0.0,False,774.08
2016-02-04,778.84,778.84,11804.0,11804.0,0.0,0.0,0.0,False,774.92
2016-02-05,778.83,778.83,11798.0,11798.0,0.0,0.0,0.0,False,775.75
2016-02-06,779.0,779.0,11900.0,11900.0,0.0,0.0,0.0,False,776.59
2016-02-07,779.03,779.03,11918.0,11918.0,0.0,0.0,0.0,False,777.42
2016-02-08,779.51,779.51,12206.0,12206.0,0.0,0.0,0.0,False,778.26
2016-02-09,781.07,781.07,13242.0,13242.0,0.0,0.0,0.0,False,779.09
2016-02-10,782.85,782.85,14395.0,14395.0,0.0,0.0,0.0,False,779.92
2016-02-11,784.02,784.02,15214.0,15214.0,0.0,0.0,0.0,False,780.76
2016-02-12,784.82,784.82,15774.0,15774.0,0.0,0.0,0.0,False,781.59
2016-02-13,785.57,785.57,16299.0,16299.0,0.0,0.0,0.0,False,782.43
2016-02-14,788.04,788.04,18032.0,18032.0,0.0,0.0,0.0,False,783.26
2016-02-15,790.63,790.63,20104.0,20104.0,0.0,0.0,0.0,False,784.1
2016-02-16,790.73,790.73,20184.0,20184.0,0.0,0.0,0.0,False,784.93
2016-02-17,789.25,789.25,19000.0,19000.0,0.0,0.0,0.0,False,785.77
