date,elev_observed_ft,elev_adjusted_ft,storage_observed_af,storage_adjusted_af,demand_cfs,cumulative_withdrawal_af,elev_change_ft,at_rating_floor,elev_rule_ft
2016-01-01,708.74,708.74,2840.68,2840.68,0.0,0.0,0.0,False,728.04
2016-01-02,704.32,704.32,1900.54,1900.54,0.0,0.0,0.0,False,728.04
2016-01-03,701.34,701.34,1367.5,1367.5,0.0,0.0,0.0,False,728.04
2016-01-04,700.68,700.68,1261.16,1261.16,0.0,0.0,0.0,False,728.04
2016-01-05,701.48,701.48,1390.68,1390.68,0.0,0.0,0.0,False,728.04
2016-01-06,702.49,702.49,1563.54,1563.54,0.0,0.0,0.0,False,728.04
2016-01-07,703.05,703.05,1663.75,1663.75,0.0,0.0,0.0,False,728.04
2016-01-08,703.13,703.13,1678.26,1678.26,0.0,0.0,0.0,False,728.04
2016-01-09,703.12,703.12,1676.44,1676.44,0.0,0.0,0.0,False,728.04
2016-01-10,703.15,703.15,1681.9,1681.9,0.0,0.0,0.0,False,728.04
2016-01-11,703.01,703.01,1656.51,1656.51,0.0,0.0,0.0,False,728.04
2016-01-12,703.96,703.96,1832.14,1832.14,0.0,0.0,0.0,False,728.04
2016-01-13,705.65,705.65,2161.9,2161.9,0.0,0.0,0.0,False,728.04
2016-01-14,703.12,703.12,1676.44,1676.44,0.0,0.0,0.0,False,728.04
2016-01-15,700.05,700.05,1164.2,1164.2,0.0,0.0,0.0,False,728.04
2016-01-16,699.96,699.96,1150.74,1150.74,0.0,0.0,0.0,False,728.04
2016-01-17,702.06,702.06,1488.66,1488.66,0.0,0.0,0.0,False,728.04
2016-01-18,701.25,701.25,1352.75,1352.75,0.0,0.0,0.0,False,728.04
2016-01-19,706.53,706.53,2344.16,2344.16,0.0,0.0,0.0,False,728.04
2016-01-20,712.77,712.77,3890.35,3890.35,0.0,0.0,0.0,False,728.04
2016-01-21,710.44,710.44,3257.24,3257.24,0.0,0.0,0.0,False,728.04
2016-01-22,710.45,710.45,3259.8,3259.8,0.0,0.0,0.0,False,728.04
2016-01-23,713.01,713.01,3959.28,3959.28,0.0,0.0,0.0,False,728.04
2016-01-24,717.84,717.84,5471.56,5471.56,0.0,0.0,0.0,False,728.04
2016-01-25,721.0,721.0,6606.5,6606.5,0.0,0.0,0.0,False,728.04
2016-01-26,722.66,722.66,7250.72,7250.72,0.0,0.0,0.0,False,728.04
2016-01-27,723.53,723.53,7599.95,7599.95,0.0,0.0,0.0,False,728.04
2016-01-28,725.94,725.94,8600.04,8600.04,0.0,0.0,0.0,False,728.04
2016-01-29,731.6,731.6,11202.1,11202.1,0.0,0.0,0.0,False,728.04
2016-01-30,738.4,738.4,14776.9,14776.9,0.0,0.0,0.0,False,728.04
2016-01-31,742.97,742.97,17431.63,17431.63,0.0,0.0,0.0,False,731.13
2016-02-01,745.71,745.71,19099.0,19099.0,0.0,0.0,0.0,False,733.31
2016-02-02,747.15,747.15,20000.65,20000.65,0.0,0.0,0.0,False,735.48
2016-02-03,747.74,747.74,20375.66,20375.66,0.0,0.0,0.0,False,737.66
2016-02-04,746.96,746.96,19880.6,19880.6,0.0,0.0,0.0,False,739.83
2016-02-05,743.43,743.43,17707.66,17707.66,0.0,0.0,0.0,False,742.01
2016-02-06,739.95,739.95,15658.65,15658.65,0.0,0.0,0.0,False,744.19
2016-02-07,735.94,735.94,13425.6,13425.6,0.0,0.0,0.0,False,746.36
2016-02-08,730.48,730.48,10657.5,10657.5,0.0,0.0,0.0,False,748.54
2016-02-09,723.35,723.35,7527.15,7527.15,0.0,0.0,0.0,False,750.71
2016-02-10,714.56,714.56,4417.78,4417.78,0.0,0.0,0.0,False,752.89
2016-02-11,706.72,706.72,2384.68,2384.68,0.0,0.0,0.0,False,755.07
2016-02-12,702.68,702.68,1597.24,1597.24,0.0,0.0,0.0,False,757.24
2016-02-13,702.87,702.87,1631.2,1631.2,0.0,0.0,0.0,False,759.42
2016-02-14,715.33,715.33,4654.46,4654.46,0.0,0.0,0.0,False,761.59
2016-02-15,724.3,724.3,7914.0,7914.0,0.0,0.0,0.0,False,763.77
2016-02-16,729.55,729.55,10217.2,10217.2,0.0,0.0,0.0,False,765.94
2016-02-17,733.66,733.66,12234.7,12234.7,0.0,0.0,0.0,False,768.12
2016-02-18,738.26,738.26,14698.3,14698.3,0.0,0.0,0.0,False,770.3
2016-02-19,742.65,742.65,17240.5,17240.5,0.0,0.0,0.0,False,772.47
2016-02-20,745.9,745.9,19216.9,19216.9,0.0,0.0,0.0,False,774.65
2016-02-21,748.5,748.5,20864.4,20864.4,0.0,0.0,0.0,False,776.82
2016-02-22,750.61,750.61,22251.38,22251.38,0.0,0.0,0.0,False,779.0
2016-02-23,752.47,752.47,23506.91,23506.91,0.0,0.0,0.0,False,781.18
2016-02-24,753.96,753.96,24534.86,24534.86,0.0,0.0,0.0,False,783.35
2016-02-25,755.23,755.23,25427.27,25427.27,0.0,0.0,0.0,False,785.53
2016-02-26,756.38,756.38,26250.78,26250.78,0.0,0.0,0.0,False,787.7
2016-02-27,757.61,757.61,27145.94,27145.94,0.0,0.0,0.0,False,789.88
2016-02-28,758.76,758.76,27996.2,27996.2,0.0,0.0,0.0,False,790.48
2016-02-29,759.83,759.83,28799.74,28799.74,0.0,0.0,0.0,False,790.785
2016-03-01,760.89,760.89,29609.79,29609.79,0.0,0.0,0.0,False,791.09
2016-03-02,762.0,762.0,30472.1,30472.1,0.0,0.0,0.0,False,791.69
2016-03-03,763.3,763.3,31497.7,31497.7,0.0,0.0,0.0,False,792.3
2016-03-04,764.45,764.45,32420.45,32420.45,0.0,0.0,0.0,False,792.9
2016-03-05,765.56,765.56,33326.22,33326.22,0.0,0.0,0.0,False,793.51
2016-03-06,767.0,767.0,34521.2,34521.2,0.0,0.0,0.0,False,794.11
2016-03-07,768.22,768.22,35550.64,35550.64,0.0,0.0,0.0,False,794.72
2016-03-08,769.26,769.26,36441.62,36441.62,0.0,0.0,0.0,False,795.32
2016-03-09,770.34,770.34,37378.52,37378.52,0.0,0.0,0.0,False,795.93
2016-03-10,771.85,771.85,38709.55,38709.55,0.0,0.0,0.0,False,796.53
2016-03-11,773.3,773.3,40013.5,40013.5,0.0,0.0,0.0,False,797.13
2016-03-12,775.03,775.03,41602.6,41602.6,0.0,0.0,0.0,False,797.74
2016-03-13,777.49,777.49,43929.66,43929.66,0.0,0.0,0.0,False,798.34
2016-03-14,781.64,781.64,48048.98,48048.98,0.0,0.0,0.0,False,798.95
2016-03-15,785.69,785.69,52312.77,52312.77,0.0,0.0,0.0,False,799.55
2016-03-16,789.34,789.34,56387.38,56387.38,0.0,0.0,0.0,False,800.16
2016-03-17,792.26,792.26,59795.44,59795.44,0.0,0.0,0.0,False,800.76
