date,elev_observed_ft,elev_adjusted_ft,storage_observed_af,storage_adjusted_af,demand_cfs,cumulative_withdrawal_af,elev_change_ft,at_rating_floor
2017-01-01,923.09,923.09,167922.43,167922.43,0.0,0.0,0.0,False
2017-01-02,922.27,922.27,166195.81,166195.81,0.0,0.0,0.0,False
2017-01-03,921.46,921.46,164504.8,164504.8,0.0,0.0,0.0,False
2017-01-04,921.1,921.1,163756.0,163756.0,0.0,0.0,0.0,False
2017-01-05,920.95,920.95,163445.1,163445.1,0.0,0.0,0.0,False
2017-01-06,920.59,920.59,162704.22,162704.22,0.0,0.0,0.0,False
2017-01-07,920.1,920.1,161695.8,161695.8,0.0,0.0,0.0,False
2017-01-08,920.19,920.19,161881.02,161881.02,0.0,0.0,0.0,False
2017-01-09,921.43,921.43,164442.4,164442.4,0.0,0.0,0.0,False
2017-01-10,922.29,922.29,166237.87,166237.87,0.0,0.0,0.0,False
2017-01-11,923.02,923.02,167773.54,167773.54,0.0,0.0,0.0,False
2017-01-12,923.55,923.55,168900.85,168900.85,0.0,0.0,0.0,False
2017-01-13,923.82,923.82,169475.14,169475.14,0.0,0.0,0.0,False
2017-01-14,923.9,923.9,169645.3,169645.3,0.0,0.0,0.0,False
2017-01-15,923.89,923.89,169624.03,169624.03,0.0,0.0,0.0,False
2017-01-16,923.76,923.76,169347.52,169347.52,0.0,0.0,0.0,False
2017-01-17,923.83,923.83,169496.41,169496.41,0.0,0.0,0.0,False
2017-01-18,927.27,927.27,176989.94,176989.94,0.0,0.0,0.0,False
2017-01-19,929.9,929.9,182897.3,182897.3,0.0,0.0,0.0,False
2017-01-20,931.53,931.53,186638.36,186638.36,0.0,0.0,0.0,False
2017-01-21,932.73,932.73,189427.36,189427.36,0.0,0.0,0.0,False
2017-01-22,933.91,933.91,192199.14,192199.14,0.0,0.0,0.0,False
2017-01-23,934.7,934.7,194072.1,194072.1,0.0,0.0,0.0,False
2017-01-24,935.12,935.12,195071.28,195071.28,0.0,0.0,0.0,False
2017-01-25,935.36,935.36,195645.84,195645.84,0.0,0.0,0.0,False
2017-01-26,935.45,935.45,195861.3,195861.3,0.0,0.0,0.0,False
2017-01-27,935.5,935.5,195981.0,195981.0,0.0,0.0,0.0,False
2017-01-28,935.54,935.54,196076.76,196076.76,0.0,0.0,0.0,False
2017-01-29,935.6,935.6,196220.4,196220.4,0.0,0.0,0.0,False
2017-01-30,935.67,935.67,196387.98,196387.98,0.0,0.0,0.0,False
2017-01-31,935.74,935.74,196555.56,196555.56,0.0,0.0,0.0,False
2017-02-01,935.86,935.86,196842.84,196842.84,0.0,0.0,0.0,False
2017-02-02,935.87,935.87,196866.78,196866.78,0.0,0.0,0.0,False
2017-02-03,935.9,935.9,196938.6,196938.6,0.0,0.0,0.0,False
2017-02-04,938.36,938.36,202908.36,202908.36,0.0,0.0,0.0,False
2017-02-05,944.67,944.67,218708.53,218708.53,0.0,0.0,0.0,False
2017-02-06,948.15,948.15,227740.55,227740.55,0.0,0.0,0.0,False
2017-02-07,948.75,948.75,229322.75,229322.75,0.0,0.0,0.0,False
2017-02-08,949.99,949.99,232614.41,232614.41,0.0,0.0,0.0,False
2017-02-09,955.88,955.88,248669.64,248669.64,0.0,0.0,0.0,False
2017-02-10,959.68,959.68,259408.8,259408.8,0.0,0.0,0.0,False
2017-02-11,961.26,961.26,263956.22,263956.22,0.0,0.0,0.0,False
2017-02-12,961.8,961.8,265520.6,265520.6,0.0,0.0,0.0,False
2017-02-13,961.8,961.8,265520.6,265520.6,0.0,0.0,0.0,False
2017-02-14,961.57,961.57,264854.29,264854.29,0.0,0.0,0.0,False
2017-02-15,961.53,961.53,264738.41,264738.41,0.0,0.0,0.0,False
2017-02-16,964.39,964.39,273098.5,273098.5,0.0,0.0,0.0,False
2017-02-17,966.52,966.52,279415.16,279415.16,0.0,0.0,0.0,False
2017-02-18,967.38,967.38,281987.0,281987.0,0.0,0.0,0.0,False
2017-02-19,967.88,967.88,283487.0,283487.0,0.0,0.0,0.0,False
2017-02-20,968.02,968.02,283907.32,283907.32,0.0,0.0,0.0,False
2017-02-21,969.41,969.41,288105.71,288105.71,0.0,0.0,0.0,False
2017-02-22,969.05,969.05,287014.55,287014.55,0.0,0.0,0.0,False
2017-02-23,968.23,968.23,284540.68,284540.68,0.0,0.0,0.0,False
