date,elev_observed_ft,elev_adjusted_ft,storage_observed_af,storage_adjusted_af,demand_cfs,cumulative_withdrawal_af,elev_change_ft,at_rating_floor
2018-01-01,1207.25,1207.25,8350.0,8350.0,0.0,0.0,0.0,False
2018-01-02,1202.33,1202.33,7466.0,7466.0,0.0,0.0,0.0,False
2018-01-03,1199.05,1199.05,6905.0,6905.0,0.0,0.0,0.0,False
2018-01-04,1197.29,1197.29,6558.0,6558.0,0.0,0.0,0.0,False
2018-01-05,1196.24,1196.24,6424.0,6424.0,0.0,0.0,0.0,False
2018-01-06,1194.76,1194.76,6152.0,6152.0,0.0,0.0,0.0,False
2018-01-07,1193.2,1193.2,5920.0,5920.0,0.0,0.0,0.0,False
2018-01-08,1191.87,1191.87,5687.0,5687.0,0.0,0.0,0.0,False
2018-01-09,1191.31,1191.31,5631.0,5631.0,0.0,0.0,0.0,False
2018-01-10,1191.28,1191.28,5628.0,5628.0,0.0,0.0,0.0,False
2018-01-11,1204.17,1204.17,7734.0,7734.0,0.0,0.0,0.0,False
2018-01-12,1218.69,1218.69,10738.0,10738.0,0.0,0.0,0.0,False
2018-01-13,1219.38,1219.38,10876.0,10876.0,0.0,0.0,0.0,False
2018-01-14,1215.87,1215.87,10161.0,10161.0,0.0,0.0,0.0,False
2018-01-15,1209.85,1209.85,8870.0,8870.0,0.0,0.0,0.0,False
2018-01-16,1205.02,1205.02,7904.0,7904.0,0.0,0.0,0.0,False
2018-01-17,1199.55,1199.55,6955.0,6955.0,0.0,0.0,0.0,False
2018-01-18,1197.4,1197.4,6580.0,6580.0,0.0,0.0,0.0,False
2018-01-19,1196.07,1196.07,6407.0,6407.0,0.0,0.0,0.0,False
2018-01-20,1193.91,1193.91,5991.0,5991.0,0.0,0.0,0.0,False
2018-01-21,1192.06,1192.06,5712.0,5712.0,0.0,0.0,0.0,False
2018-01-22,1192.04,1192.04,5708.0,5708.0,0.0,0.0,0.0,False
2018-01-23,1191.87,1191.87,5687.0,5687.0,0.0,0.0,0.0,False
2018-01-24,1205.5,1205.5,8000.0,8000.0,0.0,0.0,0.0,False
2018-01-25,1211.48,1211.48,9196.0,9196.0,0.0,0.0,0.0,False
2018-01-26,1210.89,1210.89,9078.0,9078.0,0.0,0.0,0.0,False
2018-01-27,1215.94,1215.94,10182.0,10182.0,0.0,0.0,0.0,False
2018-01-28,1226.19,1226.19,12538.0,12538.0,0.0,0.0,0.0,False
2018-01-29,1229.55,1229.55,13365.0,13365.0,0.0,0.0,0.0,False
2018-01-30,1231.82,1231.82,13946.0,13946.0,0.0,0.0,0.0,False
2018-01-31,1230.86,1230.86,13672.0,13672.0,0.0,0.0,0.0,False
2018-02-01,1227.61,1227.61,12883.0,12883.0,0.0,0.0,0.0,False
2018-02-02,1225.8,1225.8,12440.0,12440.0,0.0,0.0,0.0,False
2018-02-03,1225.78,1225.78,12434.0,12434.0,0.0,0.0,0.0,False
2018-02-04,1226.21,1226.21,12542.0,12542.0,0.0,0.0,0.0,False
2018-02-05,1226.73,1226.73,12646.0,12646.0,0.0,0.0,0.0,False
2018-02-06,1228.79,1228.79,13158.0,13158.0,0.0,0.0,0.0,False
2018-02-07,1231.51,1231.51,13853.0,13853.0,0.0,0.0,0.0,False
2018-02-08,1233.98,1233.98,14494.0,14494.0,0.0,0.0,0.0,False
2018-02-09,1236.41,1236.41,15182.0,15182.0,0.0,0.0,0.0,False
2018-02-10,1238.35,1238.35,15705.0,15705.0,0.0,0.0,0.0,False
2018-02-11,1239.96,1239.96,16188.0,16188.0,0.0,0.0,0.0,False
2018-02-12,1241.3,1241.3,16590.0,16590.0,0.0,0.0,0.0,False
2018-02-13,1242.43,1242.43,16929.0,16929.0,0.0,0.0,0.0,False
2018-02-14,1243.56,1243.56,17268.0,17268.0,0.0,0.0,0.0,False
2018-02-15,1244.64,1244.64,17592.0,17592.0,0.0,0.0,0.0,False
2018-02-16,1245.76,1245.76,17928.0,17928.0,0.0,0.0,0.0,False
2018-02-17,1247.98,1247.98,18594.0,18594.0,0.0,0.0,0.0,False
2018-02-18,1251.76,1251.76,19828.0,19828.0,0.0,0.0,0.0,False
2018-02-19,1254.13,1254.13,20652.0,20652.0,0.0,0.0,0.0,False
2018-02-20,1255.95,1255.95,21285.0,21285.0,0.0,0.0,0.0,False
2018-02-21,1257.47,1257.47,21841.0,21841.0,0.0,0.0,0.0,False
2018-02-22,1258.84,1258.84,22336.0,22336.0,0.0,0.0,0.0,False
2018-02-23,1259.94,1259.94,22776.0,22776.0,0.0,0.0,0.0,False
2018-02-24,1261.17,1261.17,23168.0,23168.0,0.0,0.0,0.0,False
2018-02-25,1262.87,1262.87,23848.0,23848.0,0.0,0.0,0.0,False
2018-02-26,1264.45,1264.45,24480.0,24480.0,0.0,0.0,0.0,False
2018-02-27,1265.62,1265.62,24948.0,24948.0,0.0,0.0,0.0,False
2018-02-28,1266.78,1266.78,25412.0,25412.0,0.0,0.0,0.0,False
2018-03-01,1268.43,1268.43,26172.0,26172.0,0.0,0.0,0.0,False
2018-03-02,1269.89,1269.89,26756.0,26756.0,0.0,0.0,0.0,False
2018-03-03,1271.02,1271.02,27308.0,27308.0,0.0,0.0,0.0,False
2018-03-04,1271.99,1271.99,27696.0,27696.0,0.0,0.0,0.0,False
2018-03-05,1272.9,1272.9,28150.0,28150.0,0.0,0.0,0.0,False
2018-03-06,1273.81,1273.81,28524.0,28524.0,0.0,0.0,0.0,False
2018-03-07,1274.93,1274.93,29065.0,29065.0,0.0,0.0,0.0,False
2018-03-08,1277.3,1277.3,30220.0,30220.0,0.0,0.0,0.0,False
2018-03-09,1283.14,1283.14,33170.0,33170.0,0.0,0.0,0.0,False
2018-03-10,1286.91,1286.91,35246.0,35246.0,0.0,0.0,0.0,False
2018-03-11,1289.88,1289.88,36928.0,36928.0,0.0,0.0,0.0,False
2018-03-12,1292.99,1292.99,38694.0,38694.0,0.0,0.0,0.0,False
2018-03-13,1296.85,1296.85,41110.0,41110.0,0.0,0.0,0.0,False
2018-03-14,1300.59,1300.59,43454.0,43454.0,0.0,0.0,0.0,False
2018-03-15,1303.34,1303.34,45304.0,45304.0,0.0,0.0,0.0,False
2018-03-16,1305.43,1305.43,46701.0,46701.0,0.0,0.0,0.0,False
2018-03-17,1307.09,1307.09,47681.0,47681.0,0.0,0.0,0.0,False
2018-03-18,1308.46,1308.46,48822.0,48822.0,0.0,0.0,0.0,False
2018-03-19,1309.62,1309.62,49634.0,49634.0,0.0,0.0,0.0,False
2018-03-20,1310.65,1310.65,50355.0,50355.0,0.0,0.0,0.0,False
2018-03-21,1311.73,1311.73,51111.0,51111.0,0.0,0.0,0.0,False
2018-03-22,1313.36,1313.36,52288.0,52288.0,0.0,0.0,0.0,False
2018-03-23,1314.94,1314.94,53458.0,53458.0,0.0,0.0,0.0,False
2018-03-24,1316.19,1316.19,54352.0,54352.0,0.0,0.0,0.0,False
2018-03-25,1317.31,1317.31,55217.0,55217.0,0.0,0.0,0.0,False
2018-03-26,1318.26,1318.26,55908.0,55908.0,0.0,0.0,0.0,False
2018-03-27,1319.14,1319.14,56598.0,56598.0,0.0,0.0,0.0,False
2018-03-28,1320.14,1320.14,57312.0,57312.0,0.0,0.0,0.0,False
2018-03-29,1321.27,1321.27,58216.0,58216.0,0.0,0.0,0.0,False
