date,elev_observed_ft,elev_adjusted_ft,storage_observed_af,storage_adjusted_af,demand_cfs,cumulative_withdrawal_af,elev_change_ft,at_rating_floor
2018-01-01,1457.06,1457.06,160083.1,160083.1,0.0,0.0,0.0,False
2018-01-02,1458.51,1458.51,162606.5,162606.5,0.0,0.0,0.0,False
2018-01-03,1459.49,1459.49,164327.87,164327.87,0.0,0.0,0.0,False
2018-01-04,1460.0,1460.0,165227.0,165227.0,0.0,0.0,0.0,False
2018-01-05,1460.84,1460.84,166720.52,166720.52,0.0,0.0,0.0,False
2018-01-06,1461.61,1461.61,168096.9,168096.9,0.0,0.0,0.0,False
2018-01-07,1462.22,1462.22,169191.66,169191.66,0.0,0.0,0.0,False
2018-01-08,1462.67,1462.67,170003.01,170003.01,0.0,0.0,0.0,False
2018-01-09,1463.45,1463.45,171416.1,171416.1,0.0,0.0,0.0,False
2018-01-10,1464.17,1464.17,172727.1,172727.1,0.0,0.0,0.0,False
2018-01-11,1467.8,1467.8,179446.6,179446.6,0.0,0.0,0.0,False
2018-01-12,1472.04,1472.04,187528.64,187528.64,0.0,0.0,0.0,False
2018-01-13,1473.32,1473.32,190017.6,190017.6,0.0,0.0,0.0,False
2018-01-14,1473.41,1473.41,190193.55,190193.55,0.0,0.0,0.0,False
2018-01-15,1472.88,1472.88,189159.08,189159.08,0.0,0.0,0.0,False
2018-01-16,1472.1,1472.1,187645.1,187645.1,0.0,0.0,0.0,False
2018-01-17,1471.67,1471.67,186814.76,186814.76,0.0,0.0,0.0,False
2018-01-18,1472.4,1472.4,188227.4,188227.4,0.0,0.0,0.0,False
2018-01-19,1473.02,1473.02,189431.1,189431.1,0.0,0.0,0.0,False
2018-01-20,1473.19,1473.19,189763.45,189763.45,0.0,0.0,0.0,False
2018-01-21,1473.43,1473.43,190232.65,190232.65,0.0,0.0,0.0,False
2018-01-22,1473.15,1473.15,189685.25,189685.25,0.0,0.0,0.0,False
2018-01-23,1472.31,1472.31,188052.71,188052.71,0.0,0.0,0.0,False
2018-01-24,1473.82,1473.82,190995.1,190995.1,0.0,0.0,0.0,False
2018-01-25,1475.09,1475.09,193492.2,193492.2,0.0,0.0,0.0,False
2018-01-26,1475.33,1475.33,193967.4,193967.4,0.0,0.0,0.0,False
2018-01-27,1476.11,1476.11,195513.23,195513.23,0.0,0.0,0.0,False
2018-01-28,1478.09,1478.09,199474.89,199474.89,0.0,0.0,0.0,False
2018-01-29,1479.59,1479.59,202514.65,202514.65,0.0,0.0,0.0,False
2018-01-30,1481.42,1481.42,206265.46,206265.46,0.0,0.0,0.0,False
2018-01-31,1482.07,1482.07,207607.32,207607.32,0.0,0.0,0.0,False
2018-02-01,1481.07,1481.07,205543.41,205543.41,0.0,0.0,0.0,False
2018-02-02,1480.75,1480.75,204886.5,204886.5,0.0,0.0,0.0,False
2018-02-03,1480.8,1480.8,204989.0,204989.0,0.0,0.0,0.0,False
2018-02-04,1480.39,1480.39,204148.5,204148.5,0.0,0.0,0.0,False
2018-02-05,1479.7,1479.7,202738.5,202738.5,0.0,0.0,0.0,False
2018-02-06,1478.33,1478.33,199959.93,199959.93,0.0,0.0,0.0,False
2018-02-07,1476.49,1476.49,196270.57,196270.57,0.0,0.0,0.0,False
2018-02-08,1475.7,1475.7,194700.0,194700.0,0.0,0.0,0.0,False
2018-02-09,1475.28,1475.28,193868.4,193868.4,0.0,0.0,0.0,False
2018-02-10,1475.45,1475.45,194205.0,194205.0,0.0,0.0,0.0,False
2018-02-11,1475.85,1475.85,194997.0,194997.0,0.0,0.0,0.0,False
2018-02-12,1476.7,1476.7,196689.1,196689.1,0.0,0.0,0.0,False
2018-02-13,1476.96,1476.96,197207.28,197207.28,0.0,0.0,0.0,False
2018-02-14,1477.57,1477.57,198430.42,198430.42,0.0,0.0,0.0,False
2018-02-15,1478.42,1478.42,200141.82,200141.82,0.0,0.0,0.0,False
2018-02-16,1479.06,1479.06,201436.1,201436.1,0.0,0.0,0.0,False
2018-02-17,1480.2,1480.2,203759.0,203759.0,0.0,0.0,0.0,False
2018-02-18,1481.99,1481.99,207441.37,207441.37,0.0,0.0,0.0,False
2018-02-19,1483.11,1483.11,209768.01,209768.01,0.0,0.0,0.0,False
2018-02-20,1484.02,1484.02,211671.08,211671.08,0.0,0.0,0.0,False
2018-02-21,1484.87,1484.87,213459.48,213459.48,0.0,0.0,0.0,False
2018-02-22,1485.49,1485.49,214770.33,214770.33,0.0,0.0,0.0,False
2018-02-23,1486.09,1486.09,216041.79,216041.79,0.0,0.0,0.0,False
2018-02-24,1486.79,1486.79,217533.49,217533.49,0.0,0.0,0.0,False
2018-02-25,1487.58,1487.58,219224.52,219224.52,0.0,0.0,0.0,False
2018-02-26,1488.12,1488.12,220383.72,220383.72,0.0,0.0,0.0,False
2018-02-27,1488.5,1488.5,221203.0,221203.0,0.0,0.0,0.0,False
2018-02-28,1488.98,1488.98,222237.88,222237.88,0.0,0.0,0.0,False
2018-03-01,1489.79,1489.79,223996.09,223996.09,0.0,0.0,0.0,False
2018-03-02,1490.2,1490.2,224889.2,224889.2,0.0,0.0,0.0,False
2018-03-03,1490.65,1490.65,225872.9,225872.9,0.0,0.0,0.0,False
2018-03-04,1491.04,1491.04,226726.08,226726.08,0.0,0.0,0.0,False
