date,elev_observed_ft,elev_adjusted_ft,storage_observed_af,storage_adjusted_af,demand_cfs,cumulative_withdrawal_af,elev_change_ft,at_rating_floor
2020-01-01,1447.99,1447.99,155385.0,155385.0,0.0,0.0,0.0,False
2020-01-02,1448.47,1448.47,156199.0,156199.0,0.0,0.0,0.0,False
2020-01-03,1448.56,1448.56,156352.0,156352.0,0.0,0.0,0.0,False
2020-01-04,1448.6,1448.6,156420.0,156420.0,0.0,0.0,0.0,False
2020-01-05,1448.55,1448.55,156335.0,156335.0,0.0,0.0,0.0,False
2020-01-06,1448.45,1448.45,156165.0,156165.0,0.0,0.0,0.0,False
2020-01-07,1448.38,1448.38,156046.0,156046.0,0.0,0.0,0.0,False
2020-01-08,1448.64,1448.64,156488.0,156488.0,0.0,0.0,0.0,False
2020-01-09,1448.77,1448.77,156709.0,156709.0,0.0,0.0,0.0,False
2020-01-10,1448.27,1448.27,155859.0,155859.0,0.0,0.0,0.0,False
2020-01-11,1448.57,1448.57,156369.0,156369.0,0.0,0.0,0.0,False
2020-01-12,1448.9,1448.9,156930.0,156930.0,0.0,0.0,0.0,False
2020-01-13,1449.27,1449.27,157586.0,157586.0,0.0,0.0,0.0,False
2020-01-14,1448.47,1448.47,156199.0,156199.0,0.0,0.0,0.0,False
2020-01-15,1447.74,1447.74,155010.0,155010.0,0.0,0.0,0.0,False
2020-01-16,1447.63,1447.63,154845.0,154845.0,0.0,0.0,0.0,False
2020-01-17,1447.47,1447.47,154605.0,154605.0,0.0,0.0,0.0,False
2020-01-18,1447.32,1447.32,154380.0,154380.0,0.0,0.0,0.0,False
2020-01-19,1447.5,1447.5,154650.0,154650.0,0.0,0.0,0.0,False
2020-01-20,1447.88,1447.88,155220.0,155220.0,0.0,0.0,0.0,False
2020-01-21,1448.6,1448.6,156420.0,156420.0,0.0,0.0,0.0,False
2020-01-22,1449.08,1449.08,157244.0,157244.0,0.0,0.0,0.0,False
2020-01-23,1449.32,1449.32,157676.0,157676.0,0.0,0.0,0.0,False
2020-01-24,1451.07,1451.07,160726.0,160726.0,0.0,0.0,0.0,False
2020-01-25,1452.41,1452.41,163097.0,163097.0,0.0,0.0,0.0,False
2020-01-26,1455.6,1455.6,168620.0,168620.0,0.0,0.0,0.0,False
2020-01-27,1457.31,1457.31,171558.0,171558.0,0.0,0.0,0.0,False
2020-01-28,1457.52,1457.52,171936.0,171936.0,0.0,0.0,0.0,False
2020-01-29,1456.66,1456.66,170422.0,170422.0,0.0,0.0,0.0,False
2020-01-30,1454.81,1454.81,167258.0,167258.0,0.0,0.0,0.0,False
2020-01-31,1453.05,1453.05,164185.0,164185.0,0.0,0.0,0.0,False
2020-02-01,1452.56,1452.56,163352.0,163352.0,0.0,0.0,0.0,False
2020-02-02,1454.03,1454.03,165854.0,165854.0,0.0,0.0,0.0,False
2020-02-03,1455.36,1455.36,168212.0,168212.0,0.0,0.0,0.0,False
2020-02-04,1456.88,1456.88,170796.0,170796.0,0.0,0.0,0.0,False
2020-02-05,1458.24,1458.24,173208.0,173208.0,0.0,0.0,0.0,False
2020-02-06,1459.96,1459.96,176228.0,176228.0,0.0,0.0,0.0,False
2020-02-07,1461.59,1461.59,179003.0,179003.0,0.0,0.0,0.0,False
2020-02-08,1463.08,1463.08,181636.0,181636.0,0.0,0.0,0.0,False
2020-02-09,1464.34,1464.34,183778.0,183778.0,0.0,0.0,0.0,False
2020-02-10,1465.38,1465.38,185584.0,185584.0,0.0,0.0,0.0,False
2020-02-11,1466.26,1466.26,187142.0,187142.0,0.0,0.0,0.0,False
2020-02-12,1467.02,1467.02,188434.0,188434.0,0.0,0.0,0.0,False
2020-02-13,1467.67,1467.67,189539.0,189539.0,0.0,0.0,0.0,False
2020-02-14,1468.24,1468.24,190532.0,190532.0,0.0,0.0,0.0,False
2020-02-15,1468.83,1468.83,191594.0,191594.0,0.0,0.0,0.0,False
2020-02-16,1469.87,1469.87,193379.0,193379.0,0.0,0.0,0.0,False
2020-02-17,1470.85,1470.85,195130.0,195130.0,0.0,0.0,0.0,False
2020-02-18,1471.61,1471.61,196437.0,196437.0,0.0,0.0,0.0,False
2020-02-19,1472.21,1472.21,197457.0,197457.0,0.0,0.0,0.0,False
2020-02-20,1472.67,1472.67,198239.0,198239.0,0.0,0.0,0.0,False
2020-02-21,1473.08,1473.08,198944.0,198944.0,0.0,0.0,0.0,False
2020-02-22,1473.45,1473.45,199610.0,199610.0,0.0,0.0,0.0,False
2020-02-23,1473.8,1473.8,200240.0,200240.0,0.0,0.0,0.0,False
2020-02-24,1474.15,1474.15,200855.0,200855.0,0.0,0.0,0.0,False
2020-02-25,1474.45,1474.45,201365.0,201365.0,0.0,0.0,0.0,False
2020-02-26,1474.77,1474.77,201909.0,201909.0,0.0,0.0,0.0,False
2020-02-27,1474.97,1474.97,202249.0,202249.0,0.0,0.0,0.0,False
2020-02-28,1475.25,1475.25,202750.0,202750.0,0.0,0.0,0.0,False
2020-02-29,1475.62,1475.62,203416.0,203416.0,0.0,0.0,0.0,False
2020-03-01,1475.89,1475.89,203902.0,203902.0,0.0,0.0,0.0,False
2020-03-02,1476.1,1476.1,204270.0,204270.0,0.0,0.0,0.0,False
2020-03-03,1476.31,1476.31,204627.0,204627.0,0.0,0.0,0.0,False
2020-03-04,1476.6,1476.6,205120.0,205120.0,0.0,0.0,0.0,False
2020-03-05,1476.85,1476.85,205545.0,205545.0,0.0,0.0,0.0,False
2020-03-06,1477.14,1477.14,206038.0,206038.0,0.0,0.0,0.0,False
2020-03-07,1477.47,1477.47,206599.0,206599.0,0.0,0.0,0.0,False
2020-03-08,1477.75,1477.75,207075.0,207075.0,0.0,0.0,0.0,False
2020-03-09,1478.01,1478.01,207518.0,207518.0,0.0,0.0,0.0,False
2020-03-10,1478.23,1478.23,207914.0,207914.0,0.0,0.0,0.0,False
2020-03-11,1478.41,1478.41,208238.0,208238.0,0.0,0.0,0.0,False
2020-03-12,1478.57,1478.57,208526.0,208526.0,0.0,0.0,0.0,False
2020-03-13,1478.74,1478.74,208832.0,208832.0,0.0,0.0,0.0,False
2020-03-14,1478.92,1478.92,209156.0,209156.0,0.0,0.0,0.0,False
2020-03-15,1479.08,1479.08,209436.0,209436.0,0.0,0.0,0.0,False
2020-03-16,1479.2,1479.2,209640.0,209640.0,0.0,0.0,0.0,False
2020-03-17,1479.32,1479.32,209844.0,209844.0,0.0,0.0,0.0,False
2020-03-18,1479.43,1479.43,210031.0,210031.0,0.0,0.0,0.0,False
2020-03-19,1479.54,1479.54,210218.0,210218.0,0.0,0.0,0.0,False
2020-03-20,1479.67,1479.67,210439.0,210439.0,0.0,0.0,0.0,False
2020-03-21,1479.81,1479.81,210677.0,210677.0,0.0,0.0,0.0,False
2020-03-22,1479.96,1479.96,210932.0,210932.0,0.0,0.0,0.0,False
2020-03-23,1480.16,1480.16,211320.0,211320.0,0.0,0.0,0.0,False
2020-03-24,1480.37,1480.37,211740.0,211740.0,0.0,0.0,0.0,False
2020-03-25,1480.56,1480.56,212120.0,212120.0,0.0,0.0,0.0,False
2020-03-26,1480.73,1480.73,212460.0,212460.0,0.0,0.0,0.0,False
2020-03-27,1480.87,1480.87,212740.0,212740.0,0.0,0.0,0.0,False
2020-03-28,1481.02,1481.02,213042.0,213042.0,0.0,0.0,0.0,False
2020-03-29,1481.22,1481.22,213462.0,213462.0,0.0,0.0,0.0,False
2020-03-30,1481.96,1481.96,215016.0,215016.0,0.0,0.0,0.0,False
2020-03-31,1483.93,1483.93,219053.0,219053.0,0.0,0.0,0.0,False
2020-04-01,1485.32,1485.32,221840.0,221840.0,0.0,0.0,0.0,False
2020-04-02,1486.24,1486.24,223704.0,223704.0,0.0,0.0,0.0,False
2020-04-03,1486.98,1486.98,225258.0,225258.0,0.0,0.0,0.0,False
2020-04-04,1487.62,1487.62,226540.0,226540.0,0.0,0.0,0.0,False
2020-04-05,1488.27,1488.27,227867.0,227867.0,0.0,0.0,0.0,False
2020-04-06,1488.98,1488.98,229358.0,229358.0,0.0,0.0,0.0,False
2020-04-07,1489.66,1489.66,230720.0,230720.0,0.0,0.0,0.0,False
2020-04-08,1490.35,1490.35,232100.0,232100.0,0.0,0.0,0.0,False
2020-04-09,1491.12,1491.12,233652.0,233652.0,0.0,0.0,0.0,False
2020-04-10,1491.99,1491.99,235479.0,235479.0,0.0,0.0,0.0,False
2020-04-11,1492.9,1492.9,237300.0,237300.0,0.0,0.0,0.0,False
2020-04-12,1493.73,1493.73,239033.0,239033.0,0.0,0.0,0.0,False
2020-04-13,1494.4,1494.4,240400.0,240400.0,0.0,0.0,0.0,False
2020-04-14,1495.0,1495.0,241600.0,241600.0,0.0,0.0,0.0,False
2020-04-15,1495.54,1495.54,242680.0,242680.0,0.0,0.0,0.0,False
2020-04-16,1496.07,1496.07,243747.0,243747.0,0.0,0.0,0.0,False
2020-04-17,1496.57,1496.57,244797.0,244797.0,0.0,0.0,0.0,False
2020-04-18,1497.06,1497.06,245820.0,245820.0,0.0,0.0,0.0,False
2020-04-19,1497.55,1497.55,246800.0,246800.0,0.0,0.0,0.0,False
2020-04-20,1498.05,1498.05,247800.0,247800.0,0.0,0.0,0.0,False
2020-04-21,1498.59,1498.59,248880.0,248880.0,0.0,0.0,0.0,False
2020-04-22,1499.39,1499.39,250519.0,250519.0,0.0,0.0,0.0,False
2020-04-23,1500.67,1500.67,253274.0,253274.0,0.0,0.0,0.0,False
2020-04-24,1501.89,1501.89,256047.0,256047.0,0.0,0.0,0.0,False
2020-04-25,1503.11,1503.11,258753.0,258753.0,0.0,0.0,0.0,False
2020-04-26,1504.35,1504.35,261605.0,261605.0,0.0,0.0,0.0,False
2020-04-27,1505.53,1505.53,264266.0,264266.0,0.0,0.0,0.0,False
2020-04-28,1506.77,1506.77,267071.0,267071.0,0.0,0.0,0.0,False
2020-04-29,1508.01,1508.01,269923.0,269923.0,0.0,0.0,0.0,False
2020-04-30,1509.26,1509.26,272772.0,272772.0,0.0,0.0,0.0,False
2020-05-01,1510.28,1510.28,275044.0,275044.0,90.0,0.0,0.0,False
2020-05-02,1511.2,1511.122,277160.0,276981.488,90.0,178.512,-0.078,False
2020-05-03,1512.08,1511.921,279176.0,278818.975,90.0,357.025,-0.159,False
2020-05-04,1512.77,1512.527,280694.0,280158.463,90.0,535.537,-0.243,False
2020-05-05,1513.34,1513.03,281982.0,281267.95,90.0,714.05,-0.31,False
2020-05-06,1513.93,1513.542,283339.0,282446.438,90.0,892.562,-0.388,False
2020-05-07,1514.45,1513.984,284535.0,283463.926,90.0,1071.074,-0.466,False
2020-05-08,1514.64,1514.097,284972.0,283722.413,90.0,1249.587,-0.543,False
2020-05-09,1514.71,1514.089,285133.0,283704.901,90.0,1428.099,-0.621,False
2020-05-10,1514.88,1514.181,285524.0,283917.388,90.0,1606.612,-0.699,False
2020-05-11,1515.03,1514.254,285869.0,284083.876,90.0,1785.124,-0.776,False
2020-05-12,1515.18,1514.326,286214.0,284250.364,90.0,1963.636,-0.854,False
2020-05-13,1515.29,1514.359,286467.0,284324.851,90.0,2142.149,-0.931,False
2020-05-14,1515.48,1514.471,286904.0,284583.339,90.0,2320.661,-1.009,False
2020-05-15,1515.87,1514.783,287801.0,285301.826,90.0,2499.174,-1.087,False
2020-05-16,1516.29,1515.113,288738.0,286060.314,90.0,2677.686,-1.177,False
2020-05-17,1516.85,1515.571,289970.0,287113.802,90.0,2856.198,-1.279,False
2020-05-18,1517.86,1516.52,292278.0,289243.289,90.0,3034.711,-1.34,False
2020-05-19,1518.81,1517.413,294463.0,291249.777,90.0,3213.223,-1.397,False
2020-05-20,1519.75,1518.308,296700.0,293308.264,90.0,3391.736,-1.442,False
2020-05-21,1520.58,1519.117,298750.0,295179.752,90.0,3570.248,-1.463,False
2020-05-22,1521.44,1519.938,300900.0,297151.24,90.0,3748.76,-1.502,False
2020-05-23,1522.16,1520.589,302700.0,298772.727,90.0,3927.273,-1.571,False
2020-05-24,1522.72,1521.078,304100.0,299994.215,90.0,4105.785,-1.642,False
2020-05-25,1523.18,1521.466,305250.0,300965.702,90.0,4284.298,-1.714,False
2020-05-26,1523.59,1521.805,306275.0,301812.19,90.0,4462.81,-1.785,False
2020-05-27,1523.95,1522.093,307175.0,302533.678,90.0,4641.322,-1.857,False
2020-05-28,1524.29,1522.304,307880.0,303060.165,90.0,4819.835,-1.986,False
2020-05-29,1524.6,1522.481,308500.0,303501.653,90.0,4998.347,-2.119,False
2020-05-30,1524.97,1522.705,309240.0,304063.14,90.0,5176.86,-2.265,False
2020-05-31,1525.24,1522.946,310020.0,304664.628,90.0,5355.372,-2.294,False
2020-06-01,1525.43,1523.102,310590.0,305056.116,141.0,5533.884,-2.328,False
2020-06-02,1525.55,1523.135,310950.0,305136.446,141.0,5813.554,-2.415,False
2020-06-03,1525.63,1523.119,311190.0,305096.777,141.0,6093.223,-2.511,False
2020-06-04,1525.6,1522.971,311100.0,304727.107,141.0,6372.893,-2.629,False
2020-06-05,1525.31,1522.511,310230.0,303577.438,141.0,6652.562,-2.799,False
2020-06-06,1525.07,1522.111,309510.0,302577.769,141.0,6932.231,-2.959,False
2020-06-07,1524.85,1521.795,309000.0,301788.099,141.0,7211.901,-3.055,False
2020-06-08,1524.65,1521.523,308600.0,301108.43,141.0,7491.57,-3.127,False
2020-06-09,1524.4,1521.212,308100.0,300328.76,141.0,7771.24,-3.188,False
2020-06-10,1524.12,1520.876,307540.0,299489.091,141.0,8050.909,-3.244,False
2020-06-11,1524.01,1520.676,307320.0,298989.421,141.0,8330.579,-3.334,False
2020-06-12,1524.19,1520.708,307680.0,299069.752,141.0,8610.248,-3.482,False
2020-06-13,1524.41,1520.772,308120.0,299230.083,141.0,8889.917,-3.638,False
2020-06-14,1524.63,1520.836,308560.0,299390.413,141.0,9169.587,-3.794,False
2020-06-15,1524.95,1520.98,309200.0,299750.744,141.0,9449.256,-3.97,False
2020-06-16,1525.44,1521.436,310620.0,300891.074,141.0,9728.926,-4.004,False
2020-06-17,1525.91,1521.889,312030.0,302021.405,141.0,10008.595,-4.021,False
2020-06-18,1526.28,1522.165,313000.0,302711.736,141.0,10288.264,-4.115,False
2020-06-19,1526.57,1522.343,313725.0,303157.066,141.0,10567.934,-4.227,False
2020-06-20,1526.81,1522.471,314325.0,303477.397,141.0,10847.603,-4.339,False
2020-06-21,1527.01,1522.559,314825.0,303697.727,141.0,11127.273,-4.451,False
2020-06-22,1527.17,1522.607,315225.0,303818.058,141.0,11406.942,-4.563,False
2020-06-23,1527.3,1522.625,315550.0,303863.388,141.0,11686.612,-4.675,False
2020-06-24,1527.4,1522.613,315800.0,303833.719,141.0,11966.281,-4.787,False
2020-06-25,1527.47,1522.572,315975.0,303729.05,141.0,12245.95,-4.898,False
2020-06-26,1527.53,1522.52,316125.0,303599.38,141.0,12525.62,-5.01,False
2020-06-27,1527.56,1522.438,316200.0,303394.711,141.0,12805.289,-5.122,False
2020-06-28,1527.6,1522.366,316300.0,303215.041,141.0,13084.959,-5.234,False
2020-06-29,1527.65,1522.304,316425.0,303060.372,141.0,13364.628,-5.346,False
2020-06-30,1527.67,1522.212,316475.0,302830.702,141.0,13644.298,-5.458,False
2020-07-01,1527.67,1522.1,316475.0,302551.033,209.0,13923.967,-5.57,False
2020-07-02,1527.67,1521.935,316475.0,302136.488,209.0,14338.512,-5.735,False
2020-07-03,1527.64,1521.739,316400.0,301646.942,209.0,14753.058,-5.901,False
2020-07-04,1527.61,1521.543,316325.0,301157.397,209.0,15167.603,-6.067,False
2020-07-05,1527.58,1521.347,316250.0,300667.851,209.0,15582.149,-6.233,False
2020-07-06,1527.53,1521.131,316125.0,300128.306,209.0,15996.694,-6.399,False
2020-07-07,1527.49,1520.926,316025.0,299613.76,209.0,16411.24,-6.564,False
2020-07-08,1527.45,1520.72,315925.0,299099.215,209.0,16825.785,-6.73,False
2020-07-09,1527.39,1520.494,315775.0,298534.669,209.0,17240.331,-6.896,False
2020-07-10,1527.34,1520.278,315650.0,297995.124,209.0,17654.876,-7.062,False
2020-07-11,1527.27,1520.042,315475.0,297405.579,209.0,18069.421,-7.228,False
2020-07-12,1527.2,1519.798,315300.0,296816.033,209.0,18483.967,-7.402,False
2020-07-13,1527.13,1519.553,315125.0,296226.488,209.0,18898.512,-7.577,False
2020-07-14,1527.05,1519.297,314925.0,295611.942,209.0,19313.058,-7.753,False
2020-07-15,1526.97,1519.041,314725.0,294997.397,209.0,19727.603,-7.929,False
2020-07-16,1526.89,1518.775,314525.0,294382.851,209.0,20142.149,-8.115,False
2020-07-17,1526.8,1518.497,314300.0,293743.306,209.0,20556.694,-8.303,False
2020-07-18,1526.7,1518.208,314050.0,293078.76,209.0,20971.24,-8.492,False
2020-07-19,1526.61,1517.93,313825.0,292439.215,209.0,21385.785,-8.68,False
2020-07-20,1526.52,1517.652,313600.0,291799.669,209.0,21800.331,-8.868,False
2020-07-21,1526.42,1517.363,313350.0,291135.124,209.0,22214.876,-9.057,False
2020-07-22,1526.28,1517.031,313000.0,290370.579,209.0,22629.421,-9.249,False
2020-07-23,1526.17,1516.719,312725.0,289681.033,209.0,23043.967,-9.451,False
2020-07-24,1526.05,1516.394,312425.0,288966.488,209.0,23458.512,-9.656,False
2020-07-25,1525.93,1516.053,312090.0,288216.942,209.0,23873.058,-9.877,False
2020-07-26,1525.81,1515.714,311730.0,287442.397,209.0,24287.603,-10.096,False
2020-07-27,1525.71,1515.403,311430.0,286727.851,209.0,24702.149,-10.307,False
2020-07-28,1525.59,1515.067,311070.0,285953.306,209.0,25116.694,-10.523,False
2020-07-29,1525.49,1514.756,310770.0,285238.76,209.0,25531.24,-10.734,False
2020-07-30,1525.36,1514.406,310380.0,284434.215,209.0,25945.785,-10.954,False
2020-07-31,1525.23,1514.056,309990.0,283629.669,209.0,26360.331,-11.174,False
2020-08-01,1525.1,1513.707,309600.0,282825.124,183.0,26774.876,-11.393,False
2020-08-02,1524.96,1513.384,309220.0,282082.149,183.0,27137.851,-11.576,False
2020-08-03,1524.83,1513.113,308960.0,281459.174,183.0,27500.826,-11.717,False
2020-08-04,1524.69,1512.826,308680.0,280816.198,183.0,27863.802,-11.864,False
2020-08-05,1524.55,1512.533,308400.0,280173.223,183.0,28226.777,-12.017,False
2020-08-06,1524.42,1512.25,308140.0,279550.248,183.0,28589.752,-12.17,False
2020-08-07,1524.28,1511.96,307860.0,278907.273,183.0,28952.727,-12.32,False
2020-08-08,1524.14,1511.68,307580.0,278264.298,183.0,29315.702,-12.46,False
2020-08-09,1524.01,1511.409,307320.0,277641.322,183.0,29678.678,-12.601,False
2020-08-10,1523.87,1511.101,306975.0,276933.347,183.0,30041.653,-12.769,False
2020-08-11,1523.71,1510.77,306575.0,276170.372,183.0,30404.628,-12.94,False
2020-08-12,1523.56,1510.449,306200.0,275432.397,183.0,30767.603,-13.111,False
2020-08-13,1523.41,1510.128,305825.0,274694.421,183.0,31130.579,-13.282,False
2020-08-14,1523.27,1509.81,305475.0,273981.446,183.0,31493.554,-13.46,False
2020-08-15,1523.12,1509.474,305100.0,273243.471,183.0,31856.529,-13.646,False
2020-08-16,1522.97,1509.139,304725.0,272505.496,183.0,32219.504,-13.831,False
2020-08-17,1522.83,1508.823,304375.0,271792.521,183.0,32582.479,-14.007,False
2020-08-18,1522.65,1508.469,303925.0,270979.545,183.0,32945.455,-14.181,False
2020-08-19,1522.51,1508.159,303575.0,270266.57,183.0,33308.43,-14.351,False
2020-08-20,1522.35,1507.828,303175.0,269503.595,183.0,33671.405,-14.522,False
2020-08-21,1522.19,1507.496,302775.0,268740.62,183.0,34034.38,-14.694,False
2020-08-22,1522.04,1507.175,302400.0,268002.645,183.0,34397.355,-14.865,False
2020-08-23,1521.89,1506.854,302025.0,267264.669,183.0,34760.331,-15.036,False
2020-08-24,1521.74,1506.533,301650.0,266526.694,183.0,35123.306,-15.207,False
2020-08-25,1521.58,1506.202,301250.0,265763.719,183.0,35486.281,-15.378,False
