date,elev_observed_ft,elev_adjusted_ft,storage_observed_af,storage_adjusted_af,demand_cfs,cumulative_withdrawal_af,elev_change_ft,at_rating_floor,elev_rule_ft
2020-01-01,822.22,822.22,108188.22,108188.22,0.0,0.0,0.0,False,825.01
2020-01-02,823.83,823.83,111283.45,111283.45,0.0,0.0,0.0,False,825.01
2020-01-03,824.9,824.9,113416.2,113416.2,0.0,0.0,0.0,False,825.01
2020-01-04,825.9,825.9,115465.5,115465.5,0.0,0.0,0.0,False,825.01
2020-01-05,826.72,826.72,117179.92,117179.92,0.0,0.0,0.0,False,825.01
2020-01-06,827.41,827.41,118640.29,118640.29,0.0,0.0,0.0,False,825.01
2020-01-07,827.44,827.44,118704.16,118704.16,0.0,0.0,0.0,False,825.01
2020-01-08,827.64,827.64,119130.5,119130.5,0.0,0.0,0.0,False,825.01
2020-01-09,827.91,827.91,119707.93,119707.93,0.0,0.0,0.0,False,825.01
2020-01-10,825.94,825.94,115548.58,115548.58,0.0,0.0,0.0,False,825.01
2020-01-11,825.37,825.37,114373.12,114373.12,0.0,0.0,0.0,False,825.01
2020-01-12,824.58,824.58,112771.54,112771.54,0.0,0.0,0.0,False,825.01
2020-01-13,823.31,823.31,110270.36,110270.36,0.0,0.0,0.0,False,825.01
2020-01-14,825.24,825.24,114107.38,114107.38,0.0,0.0,0.0,False,825.01
2020-01-15,826.2,826.2,116089.8,116089.8,0.0,0.0,0.0,False,825.01
2020-01-16,826.3,826.3,116298.8,116298.8,0.0,0.0,0.0,False,825.01
2020-01-17,825.57,825.57,114783.69,114783.69,0.0,0.0,0.0,False,825.01
2020-01-18,824.82,824.82,113254.52,113254.52,0.0,0.0,0.0,False,825.01
2020-01-19,824.36,824.36,112331.82,112331.82,0.0,0.0,0.0,False,825.01
2020-01-20,824.12,824.12,111855.12,111855.12,0.0,0.0,0.0,False,825.01
2020-01-21,824.06,824.06,111736.5,111736.5,0.0,0.0,0.0,False,825.01
2020-01-22,824.3,824.3,112212.3,112212.3,0.0,0.0,0.0,False,825.01
2020-01-23,825.79,825.79,115237.63,115237.63,0.0,0.0,0.0,False,825.01
2020-01-24,827.22,827.22,118236.64,118236.64,0.0,0.0,0.0,False,825.01
