date,elev_observed_ft,elev_adjusted_ft,storage_observed_af,storage_adjusted_af,demand_cfs,cumulative_withdrawal_af,elev_change_ft,at_rating_floor,elev_rule_ft
2021-01-01,1461.1,1461.1,167184.0,167184.0,0.0,0.0,0.0,False,1450.01
2021-01-02,1459.12,1459.12,163675.56,163675.56,0.0,0.0,0.0,False,1450.01
2021-01-03,1464.49,1464.49,173312.7,173312.7,0.0,0.0,0.0,False,1450.01
2021-01-04,1466.73,1466.73,177447.34,177447.34,0.0,0.0,0.0,False,1450.01
2021-01-05,1467.48,1467.48,178847.56,178847.56,0.0,0.0,0.0,False,1450.01
2021-01-06,1466.37,1466.37,176778.46,176778.46,0.0,0.0,0.0,False,1450.01
2021-01-07,1464.56,1464.56,173440.8,173440.8,0.0,0.0,0.0,False,1450.01
2021-01-08,1461.7,1461.7,168258.0,168258.0,0.0,0.0,0.0,False,1450.01
2021-01-09,1458.1,1458.1,161889.0,161889.0,0.0,0.0,0.0,False,1450.01
2021-01-10,1453.94,1453.94,154765.62,154765.62,0.0,0.0,0.0,False,1450.01
2021-01-11,1452.01,1452.01,151552.57,151552.57,0.0,0.0,0.0,False,1450.01
2021-01-12,1462.07,1462.07,168921.21,168921.21,0.0,0.0,0.0,False,1450.01
2021-01-13,1478.97,1478.97,201253.37,201253.37,0.0,0.0,0.0,False,1450.01
2021-01-14,1484.2,1484.2,212049.8,212049.8,0.0,0.0,0.0,False,1450.01
2021-01-15,1486.55,1486.55,217022.05,217022.05,0.0,0.0,0.0,False,1450.01
2021-01-16,1486.08,1486.08,216020.48,216020.48,0.0,0.0,0.0,False,1450.01
2021-01-17,1482.49,1482.49,208479.24,208479.24,0.0,0.0,0.0,False,1450.01
2021-01-18,1477.83,1477.83,198951.98,198951.98,0.0,0.0,0.0,False,1450.01
2021-01-19,1472.62,1472.62,188654.42,188654.42,0.0,0.0,0.0,False,1450.01
2021-01-20,1468.16,1468.16,180122.92,180122.92,0.0,0.0,0.0,False,1450.01
2021-01-21,1464.27,1464.27,172910.1,172910.1,0.0,0.0,0.0,False,1450.01
2021-01-22,1460.6,1460.6,166293.8,166293.8,0.0,0.0,0.0,False,1450.01
2021-01-23,1457.37,1457.37,160620.95,160620.95,0.0,0.0,0.0,False,1450.01
2021-01-24,1454.97,1454.97,156504.33,156504.33,0.0,0.0,0.0,False,1450.01
2021-01-25,1452.5,1452.5,152364.5,152364.5,0.0,0.0,0.0,False,1450.01
2021-01-26,1451.48,1451.48,150682.16,150682.16,0.0,0.0,0.0,False,1450.01
2021-01-27,1450.58,1450.58,149210.66,149210.66,0.0,0.0,0.0,False,1450.01
2021-01-28,1449.76,1449.76,147880.84,147880.84,0.0,0.0,0.0,False,1450.01
2021-01-29,1449.47,1449.47,147414.23,147414.23,0.0,0.0,0.0,False,1450.01
2021-01-30,1449.15,1449.15,146899.35,146899.35,0.0,0.0,0.0,False,1450.01
2021-01-31,1449.2,1449.2,146979.8,146979.8,0.0,0.0,0.0,False,1452.23
2021-02-01,1449.63,1449.63,147671.67,147671.67,0.0,0.0,0.0,False,1454.44
2021-02-02,1450.92,1450.92,149763.84,149763.84,0.0,0.0,0.0,False,1456.66
2021-02-03,1452.11,1452.11,151718.27,151718.27,0.0,0.0,0.0,False,1458.88
2021-02-04,1453.05,1453.05,153276.65,153276.65,0.0,0.0,0.0,False,1461.09
2021-02-05,1454.06,1454.06,154967.34,154967.34,0.0,0.0,0.0,False,1463.31
2021-02-06,1455.18,1455.18,156861.9,156861.9,0.0,0.0,0.0,False,1465.53
2021-02-07,1456.24,1456.24,158672.56,158672.56,0.0,0.0,0.0,False,1467.74
2021-02-08,1457.15,1457.15,160239.25,160239.25,0.0,0.0,0.0,False,1469.96
2021-02-09,1457.93,1457.93,161592.55,161592.55,0.0,0.0,0.0,False,1472.18
2021-02-10,1458.56,1458.56,162694.0,162694.0,0.0,0.0,0.0,False,1474.39
2021-02-11,1459.23,1459.23,163869.49,163869.49,0.0,0.0,0.0,False,1476.61
2021-02-12,1459.81,1459.81,164892.03,164892.03,0.0,0.0,0.0,False,1478.83
2021-02-13,1460.48,1460.48,166080.44,166080.44,0.0,0.0,0.0,False,1481.04
2021-02-14,1461.16,1461.16,167291.4,167291.4,0.0,0.0,0.0,False,1483.26
2021-02-15,1463.85,1463.85,172143.3,172143.3,0.0,0.0,0.0,False,1485.48
2021-02-16,1468.19,1468.19,180179.53,180179.53,0.0,0.0,0.0,False,1487.7
2021-02-17,1470.93,1470.93,185389.02,185389.02,0.0,0.0,0.0,False,1489.91
2021-02-18,1473.46,1473.46,190291.3,190291.3,0.0,0.0,0.0,False,1492.13
2021-02-19,1477.45,1477.45,198189.7,198189.7,0.0,0.0,0.0,False,1494.35
2021-02-20,1480.58,1480.58,204538.0,204538.0,0.0,0.0,0.0,False,1496.56
2021-02-21,1483.06,1483.06,209663.46,209663.46,0.0,0.0,0.0,False,1498.78
2021-02-22,1486.15,1486.15,216169.65,216169.65,0.0,0.0,0.0,False,1501.0
2021-02-23,1490.13,1490.13,224736.18,224736.18,0.0,0.0,0.0,False,1503.21
2021-02-24,1492.82,1492.82,230656.3,230656.3,0.0,0.0,0.0,False,1505.43
2021-02-25,1495.0,1495.0,235528.0,235528.0,0.0,0.0,0.0,False,1507.65
2021-02-26,1497.05,1497.05,240169.2,240169.2,0.0,0.0,0.0,False,1509.86
2021-02-27,1498.68,1498.68,243902.32,243902.32,0.0,0.0,0.0,False,1512.08
2021-02-28,1500.03,1500.03,247021.84,247021.84,0.0,0.0,0.0,False,1512.93
2021-03-01,1501.29,1501.29,249958.89,249958.89,0.0,0.0,0.0,False,1513.77
2021-03-02,1502.41,1502.41,252586.96,252586.96,0.0,0.0,0.0,False,1514.62
2021-03-03,1503.38,1503.38,254877.98,254877.98,0.0,0.0,0.0,False,1515.46
2021-03-04,1504.58,1504.58,257731.3,257731.3,0.0,0.0,0.0,False,1516.31
2021-03-05,1505.81,1505.81,260677.0,260677.0,0.0,0.0,0.0,False,1517.15
2021-03-06,1507.02,1507.02,263596.64,263596.64,0.0,0.0,0.0,False,1518.0
2021-03-07,1508.14,1508.14,266322.58,266322.58,0.0,0.0,0.0,False,1518.85
2021-03-08,1509.08,1509.08,268623.96,268623.96,0.0,0.0,0.0,False,1519.69
2021-03-09,1509.92,1509.92,270692.04,270692.04,0.0,0.0,0.0,False,1520.54
2021-03-10,1510.55,1510.55,272250.8,272250.8,0.0,0.0,0.0,False,1521.38
2021-03-11,1511.21,1511.21,273888.11,273888.11,0.0,0.0,0.0,False,1522.23
2021-03-12,1511.84,1511.84,275457.44,275457.44,0.0,0.0,0.0,False,1523.08
2021-03-13,1512.4,1512.4,276858.0,276858.0,0.0,0.0,0.0,False,1523.92
2021-03-14,1513.04,1513.04,278461.8,278461.8,0.0,0.0,0.0,False,1524.77
2021-03-15,1513.31,1513.31,279142.2,279142.2,0.0,0.0,0.0,False,1525.61
2021-03-16,1513.48,1513.48,279570.6,279570.6,0.0,0.0,0.0,False,1526.46
2021-03-17,1513.62,1513.62,279923.4,279923.4,0.0,0.0,0.0,False,1527.3
2021-03-18,1513.83,1513.83,280452.6,280452.6,0.0,0.0,0.0,False,1528.15
2021-03-19,1514.17,1514.17,281311.95,281311.95,0.0,0.0,0.0,False,1529.0
2021-03-20,1514.56,1514.56,282300.6,282300.6,0.0,0.0,0.0,False,1529.84
2021-03-21,1514.9,1514.9,283162.5,283162.5,0.0,0.0,0.0,False,1530.69
2021-03-22,1515.34,1515.34,284283.68,284283.68,0.0,0.0,0.0,False,1531.53
2021-03-23,1515.66,1515.66,285100.32,285100.32,0.0,0.0,0.0,False,1532.38
2021-03-24,1516.0,1516.0,285968.0,285968.0,0.0,0.0,0.0,False,1533.23
2021-03-25,1516.36,1516.36,286892.12,286892.12,0.0,0.0,0.0,False,1534.07
2021-03-26,1516.68,1516.68,287713.56,287713.56,0.0,0.0,0.0,False,1534.92
2021-03-27,1516.91,1516.91,288303.97,288303.97,0.0,0.0,0.0,False,1535.76
2021-03-28,1517.33,1517.33,289387.39,289387.39,0.0,0.0,0.0,False,1536.61
2021-03-29,1517.88,1517.88,290808.04,290808.04,0.0,0.0,0.0,False,1537.45
2021-03-30,1518.26,1518.26,291793.48,291793.48,0.0,0.0,0.0,False,1538.3
2021-03-31,1518.57,1518.57,292598.86,292598.86,0.0,0.0,0.0,False,1539.06
2021-04-01,1518.96,1518.96,293612.08,293612.08,0.0,0.0,0.0,False,1539.82
2021-04-02,1519.57,1519.57,295206.55,295206.55,0.0,0.0,0.0,False,1540.58
2021-04-03,1520.22,1520.22,296909.82,296909.82,0.0,0.0,0.0,False,1541.34
2021-04-04,1520.91,1520.91,298725.21,298725.21,0.0,0.0,0.0,False,1542.1
2021-04-05,1521.59,1521.59,300524.32,300524.32,0.0,0.0,0.0,False,1542.86
2021-04-06,1522.18,1522.18,302089.52,302089.52,0.0,0.0,0.0,False,1543.62
2021-04-07,1522.74,1522.74,303581.36,303581.36,0.0,0.0,0.0,False,1544.38
2021-04-08,1523.33,1523.33,305158.73,305158.73,0.0,0.0,0.0,False,1545.14
2021-04-09,1523.74,1523.74,306257.94,306257.94,0.0,0.0,0.0,False,1545.9
2021-04-10,1524.12,1524.12,307278.76,307278.76,0.0,0.0,0.0,False,1546.66
2021-04-11,1524.48,1524.48,308250.04,308250.04,0.0,0.0,0.0,False,1547.42
2021-04-12,1524.82,1524.82,309167.36,309167.36,0.0,0.0,0.0,False,1548.18
2021-04-13,1525.04,1525.04,309761.6,309761.6,0.0,0.0,0.0,False,1548.94
2021-04-14,1525.26,1525.26,310358.9,310358.9,0.0,0.0,0.0,False,1549.7
2021-04-15,1525.58,1525.58,311227.7,311227.7,0.0,0.0,0.0,False,1550.4
2021-04-16,1526.03,1526.03,312449.96,312449.96,0.0,0.0,0.0,False,1551.1
2021-04-17,1526.82,1526.82,314608.24,314608.24,0.0,0.0,0.0,False,1551.8
2021-04-18,1527.74,1527.74,317134.26,317134.26,0.0,0.0,0.0,False,1552.5
2021-04-19,1528.92,1528.92,320393.72,320393.72,0.0,0.0,0.0,False,1553.2
2021-04-20,1529.95,1529.95,323258.85,323258.85,0.0,0.0,0.0,False,1553.9
2021-04-21,1530.83,1530.83,325723.66,325723.66,0.0,0.0,0.0,False,1554.6
2021-04-22,1531.68,1531.68,328117.6,328117.6,0.0,0.0,0.0,False,1555.3
2021-04-23,1532.46,1532.46,330325.48,330325.48,0.0,0.0,0.0,False,1556.0
2021-04-24,1533.25,1533.25,332572.25,332572.25,0.0,0.0,0.0,False,1556.7
2021-04-25,1534.02,1534.02,334772.5,334772.5,0.0,0.0,0.0,False,1557.4
2021-04-26,1534.69,1534.69,336698.75,336698.75,0.0,0.0,0.0,False,1558.1
2021-04-27,1535.23,1535.23,338255.85,338255.85,0.0,0.0,0.0,False,1558.8
2021-04-28,1535.78,1535.78,339848.1,339848.1,0.0,0.0,0.0,False,1559.5
2021-04-29,1536.48,1536.48,341883.72,341883.72,0.0,0.0,0.0,False,1560.2
2021-04-30,1537.39,1537.39,344544.04,344544.04,0.0,0.0,0.0,False,1560.85
2021-05-01,1538.76,1538.76,348581.56,348581.56,146.0,0.0,0.0,False,1561.5
2021-05-02,1539.91,1539.813,352000.07,351710.483,146.0,289.587,-0.097,False,1562.15
2021-05-03,1540.71,1540.517,354396.58,353817.406,146.0,579.174,-0.193,False,1562.8
2021-05-04,1541.46,1541.172,356653.82,355785.06,146.0,868.76,-0.288,False,1563.45
2021-05-05,1542.2,1541.817,358890.6,357732.253,146.0,1158.347,-0.383,False,1563.45
2021-05-06,1542.89,1542.413,360986.82,359538.886,146.0,1447.934,-0.477,False,1563.45
2021-05-07,1543.51,1542.942,362881.09,361143.569,146.0,1737.521,-0.568,False,1563.45
2021-05-08,1543.92,1543.257,364135.28,362108.173,146.0,2027.107,-0.663,False,1563.45
