date,elev_observed_ft,elev_adjusted_ft,storage_observed_af,storage_adjusted_af,demand_cfs,cumulative_withdrawal_af,elev_change_ft,at_rating_floor,elev_rule_ft
2022-01-01,748.48,748.48,2709.04,2709.04,0.0,0.0,0.0,False,750.1
2022-01-02,748.01,748.01,2580.73,2580.73,0.0,0.0,0.0,False,750.1
2022-01-03,756.04,756.04,5291.32,5291.32,0.0,0.0,0.0,False,750.1
2022-01-04,761.47,761.47,7937.62,7937.62,0.0,0.0,0.0,False,750.1
2022-01-05,765.95,765.95,10560.1,10560.1,0.0,0.0,0.0,False,750.1
2022-01-06,769.91,769.91,13192.36,13192.36,0.0,0.0,0.0,False,750.1
2022-01-07,772.21,772.21,14871.23,14871.23,0.0,0.0,0.0,False,750.1
2022-01-08,773.5,773.5,15868.0,15868.0,0.0,0.0,0.0,False,750.1
2022-01-09,772.45,772.45,15054.35,15054.35,0.0,0.0,0.0,False,750.1
2022-01-10,771.15,771.15,14082.0,14082.0,0.0,0.0,0.0,False,750.1
2022-01-11,769.04,769.04,12586.84,12586.84,0.0,0.0,0.0,False,750.1
2022-01-12,765.9,765.9,10529.2,10529.2,0.0,0.0,0.0,False,750.1
2022-01-13,762.53,762.53,8525.92,8525.92,0.0,0.0,0.0,False,750.1
2022-01-14,758.87,758.87,6582.47,6582.47,0.0,0.0,0.0,False,750.1
2022-01-15,756.17,756.17,5347.61,5347.61,0.0,0.0,0.0,False,750.1
2022-01-16,754.48,754.48,4663.24,4663.24,0.0,0.0,0.0,False,750.1
2022-01-17,752.98,752.98,4105.1,4105.1,0.0,0.0,0.0,False,750.1
2022-01-18,751.12,751.12,3481.88,3481.88,0.0,0.0,0.0,False,750.1
2022-01-19,749.25,749.25,2923.0,2923.0,0.0,0.0,0.0,False,750.1
2022-01-20,748.7,748.7,2769.1,2769.1,0.0,0.0,0.0,False,750.1
2022-01-21,748.86,748.86,2812.78,2812.78,0.0,0.0,0.0,False,750.1
2022-01-22,749.05,749.05,2865.4,2865.4,0.0,0.0,0.0,False,750.1
2022-01-23,749.49,749.49,2992.12,2992.12,0.0,0.0,0.0,False,750.1
2022-01-24,749.89,749.89,3107.32,3107.32,0.0,0.0,0.0,False,750.1
2022-01-25,749.82,749.82,3087.16,3087.16,0.0,0.0,0.0,False,750.1
2022-01-26,749.82,749.82,3087.16,3087.16,0.0,0.0,0.0,False,750.1
2022-01-27,749.73,749.73,3061.24,3061.24,0.0,0.0,0.0,False,750.1
2022-01-28,749.59,749.59,3020.92,3020.92,0.0,0.0,0.0,False,750.1
2022-01-29,749.79,749.79,3078.52,3078.52,0.0,0.0,0.0,False,750.1
2022-01-30,750.13,750.13,3178.52,3178.52,0.0,0.0,0.0,False,750.1
2022-01-31,750.55,750.55,3306.2,3306.2,0.0,0.0,0.0,False,750.74
2022-02-01,750.88,750.88,3406.52,3406.52,0.0,0.0,0.0,False,751.25
2022-02-02,751.13,751.13,3485.12,3485.12,0.0,0.0,0.0,False,751.76
2022-02-03,751.34,751.34,3553.16,3553.16,0.0,0.0,0.0,False,752.27
2022-02-04,751.49,751.49,3601.76,3601.76,0.0,0.0,0.0,False,752.77
2022-02-05,751.63,751.63,3647.12,3647.12,0.0,0.0,0.0,False,753.28
2022-02-06,751.72,751.72,3676.28,3676.28,0.0,0.0,0.0,False,753.79
2022-02-07,751.8,751.8,3702.2,3702.2,0.0,0.0,0.0,False,754.3
2022-02-08,751.85,751.85,3718.4,3718.4,0.0,0.0,0.0,False,754.81
2022-02-09,751.9,751.9,3734.6,3734.6,0.0,0.0,0.0,False,755.32
2022-02-10,751.93,751.93,3744.32,3744.32,0.0,0.0,0.0,False,755.83
2022-02-11,751.99,751.99,3763.76,3763.76,0.0,0.0,0.0,False,756.33
2022-02-12,752.03,752.03,3777.35,3777.35,0.0,0.0,0.0,False,756.84
2022-02-13,752.05,752.05,3784.25,3784.25,0.0,0.0,0.0,False,757.35
2022-02-14,752.18,752.18,3829.1,3829.1,0.0,0.0,0.0,False,757.86
2022-02-15,752.23,752.23,3846.35,3846.35,0.0,0.0,0.0,False,758.37
2022-02-16,752.24,752.24,3849.8,3849.8,0.0,0.0,0.0,False,758.88
2022-02-17,752.23,752.23,3846.35,3846.35,0.0,0.0,0.0,False,759.38
2022-02-18,752.21,752.21,3839.45,3839.45,0.0,0.0,0.0,False,759.89
2022-02-19,752.17,752.17,3825.65,3825.65,0.0,0.0,0.0,False,760.4
2022-02-20,752.16,752.16,3822.2,3822.2,0.0,0.0,0.0,False,760.91
2022-02-21,752.24,752.24,3849.8,3849.8,0.0,0.0,0.0,False,761.42
2022-02-22,752.37,752.37,3894.65,3894.65,0.0,0.0,0.0,False,761.93
2022-02-23,752.4,752.4,3905.0,3905.0,0.0,0.0,0.0,False,762.44
2022-02-24,752.41,752.41,3908.45,3908.45,0.0,0.0,0.0,False,762.94
2022-02-25,752.4,752.4,3905.0,3905.0,0.0,0.0,0.0,False,763.45
2022-02-26,752.4,752.4,3905.0,3905.0,0.0,0.0,0.0,False,763.96
2022-02-27,752.43,752.43,3915.35,3915.35,0.0,0.0,0.0,False,764.47
2022-02-28,752.51,752.51,3942.95,3942.95,0.0,0.0,0.0,False,764.84
2022-03-01,752.62,752.62,3980.9,3980.9,0.0,0.0,0.0,False,765.22
2022-03-02,754.11,754.11,4519.68,4519.68,0.0,0.0,0.0,False,765.59
2022-03-03,756.64,756.64,5551.12,5551.12,0.0,0.0,0.0,False,765.97
2022-03-04,758.15,758.15,6236.15,6236.15,0.0,0.0,0.0,False,766.34
2022-03-05,759.09,759.09,6690.72,6690.72,0.0,0.0,0.0,False,766.72
2022-03-06,759.73,759.73,7015.84,7015.84,0.0,0.0,0.0,False,767.09
2022-03-07,760.19,760.19,7253.32,7253.32,0.0,0.0,0.0,False,767.47
2022-03-08,760.53,760.53,7432.84,7432.84,0.0,0.0,0.0,False,767.84
2022-03-09,760.81,760.81,7580.68,7580.68,0.0,0.0,0.0,False,768.22
2022-03-10,761.02,761.02,7691.92,7691.92,0.0,0.0,0.0,False,768.59
2022-03-11,761.19,761.19,7784.74,7784.74,0.0,0.0,0.0,False,768.97
2022-03-12,761.38,761.38,7888.48,7888.48,0.0,0.0,0.0,False,769.34
2022-03-13,761.94,761.94,8194.24,8194.24,0.0,0.0,0.0,False,769.72
2022-03-14,762.51,762.51,8514.64,8514.64,0.0,0.0,0.0,False,770.09
2022-03-15,763.48,763.48,9070.36,9070.36,0.0,0.0,0.0,False,770.47
2022-03-16,764.36,764.36,9589.0,9589.0,0.0,0.0,0.0,False,770.84
2022-03-17,764.97,764.97,9955.0,9955.0,0.0,0.0,0.0,False,771.22
2022-03-18,765.42,765.42,10232.56,10232.56,0.0,0.0,0.0,False,771.59
2022-03-19,765.94,765.94,10553.92,10553.92,0.0,0.0,0.0,False,771.97
2022-03-20,766.4,766.4,10845.8,10845.8,0.0,0.0,0.0,False,772.34
2022-03-21,766.78,766.78,11087.86,11087.86,0.0,0.0,0.0,False,772.72
2022-03-22,767.09,767.09,11287.04,11287.04,0.0,0.0,0.0,False,773.09
2022-03-23,767.35,767.35,11457.6,11457.6,0.0,0.0,0.0,False,773.47
2022-03-24,767.58,767.58,11608.48,11608.48,0.0,0.0,0.0,False,773.84
2022-03-25,767.76,767.76,11726.56,11726.56,0.0,0.0,0.0,False,774.22
2022-03-26,767.92,767.92,11831.52,11831.52,0.0,0.0,0.0,False,774.59
2022-03-27,768.05,768.05,11917.75,11917.75,0.0,0.0,0.0,False,774.97
2022-03-28,768.17,768.17,11998.75,11998.75,0.0,0.0,0.0,False,775.34
2022-03-29,768.26,768.26,12059.5,12059.5,0.0,0.0,0.0,False,775.72
2022-03-30,768.34,768.34,12113.5,12113.5,0.0,0.0,0.0,False,776.09
2022-03-31,768.4,768.4,12154.0,12154.0,0.0,0.0,0.0,False,776.47
2022-04-01,768.44,768.44,12181.0,12181.0,0.0,0.0,0.0,False,776.81
2022-04-02,768.48,768.48,12208.0,12208.0,0.0,0.0,0.0,False,777.14
2022-04-03,768.51,768.51,12228.25,12228.25,0.0,0.0,0.0,False,777.48
2022-04-04,769.15,769.15,12663.4,12663.4,0.0,0.0,0.0,False,777.81
2022-04-05,769.94,769.94,13213.24,13213.24,0.0,0.0,0.0,False,778.15
2022-04-06,770.51,770.51,13620.16,13620.16,0.0,0.0,0.0,False,778.48
2022-04-07,770.86,770.86,13870.76,13870.76,0.0,0.0,0.0,False,778.82
2022-04-08,771.15,771.15,14082.0,14082.0,0.0,0.0,0.0,False,779.16
2022-04-09,771.34,771.34,14222.6,14222.6,0.0,0.0,0.0,False,779.49
2022-04-10,771.59,771.59,14407.6,14407.6,0.0,0.0,0.0,False,779.83
2022-04-11,772.57,772.57,15145.91,15145.91,0.0,0.0,0.0,False,780.16
2022-04-12,773.67,773.67,16001.96,16001.96,0.0,0.0,0.0,False,780.5
2022-04-13,774.95,774.95,17033.4,17033.4,0.0,0.0,0.0,False,780.83
2022-04-14,776.22,776.22,18096.32,18096.32,0.0,0.0,0.0,False,781.17
2022-04-15,777.15,777.15,18895.55,18895.55,0.0,0.0,0.0,False,781.43
2022-04-16,777.96,777.96,19605.92,19605.92,0.0,0.0,0.0,False,781.68
2022-04-17,778.67,778.67,20244.0,20244.0,0.0,0.0,0.0,False,781.94
2022-04-18,779.37,779.37,20882.14,20882.14,0.0,0.0,0.0,False,782.2
2022-04-19,780.41,780.41,21849.22,21849.22,0.0,0.0,0.0,False,782.45
2022-04-20,781.43,781.43,22818.66,22818.66,0.0,0.0,0.0,False,782.71
2022-04-21,782.5,782.5,23857.5,23857.5,0.0,0.0,0.0,False,782.97
2022-04-22,783.34,783.34,24688.68,24688.68,0.0,0.0,0.0,False,783.22
2022-04-23,783.97,783.97,25319.94,25319.94,0.0,0.0,0.0,False,783.48
2022-04-24,784.36,784.36,25717.56,25717.56,0.0,0.0,0.0,False,783.74
2022-04-25,784.71,784.71,26074.91,26074.91,0.0,0.0,0.0,False,783.99
2022-04-26,785.05,785.05,26423.05,26423.05,0.0,0.0,0.0,False,784.25
2022-04-27,785.32,785.32,26704.12,26704.12,0.0,0.0,0.0,False,784.51
2022-04-28,785.63,785.63,27026.83,27026.83,0.0,0.0,0.0,False,784.76
2022-04-29,785.96,785.96,27370.36,27370.36,0.0,0.0,0.0,False,785.02
2022-04-30,786.48,786.48,27921.28,27921.28,0.0,0.0,0.0,False,785.28
2022-05-01,787.0,787.0,28473.0,28473.0,13.0,0.0,0.0,False,785.54
2022-05-02,787.53,787.506,29046.99,29021.205,13.0,25.785,-0.024,False,785.8
2022-05-03,788.01,787.963,29567.03,29515.46,13.0,51.57,-0.047,False,786.05
2022-05-04,788.19,788.12,29765.57,29688.215,13.0,77.355,-0.07,False,786.31
2022-05-05,788.29,788.196,29875.87,29772.73,13.0,103.14,-0.094,False,786.57
2022-05-06,788.45,788.333,30052.35,29923.424,13.0,128.926,-0.117,False,786.83
2022-05-07,788.97,788.83,30625.91,30471.199,13.0,154.711,-0.14,False,787.09
2022-05-08,789.67,789.51,31412.75,31232.254,13.0,180.496,-0.16,False,787.35
2022-05-09,789.81,789.627,31570.25,31363.969,13.0,206.281,-0.183,False,787.6
2022-05-10,789.95,789.744,31727.75,31495.684,13.0,232.066,-0.206,False,787.86
2022-05-11,789.88,789.651,31649.0,31391.149,13.0,257.851,-0.229,False,788.12
2022-05-12,789.68,789.428,31424.0,31140.364,13.0,283.636,-0.252,False,788.38
2022-05-13,789.72,789.445,31469.0,31159.579,13.0,309.421,-0.275,False,788.64
2022-05-14,789.78,789.482,31536.5,31201.293,13.0,335.207,-0.298,False,788.9
2022-05-15,789.76,789.439,31514.0,31153.008,13.0,360.992,-0.321,False,789.15
2022-05-16,789.77,789.426,31525.25,31138.473,13.0,386.777,-0.344,False,789.41
2022-05-17,789.91,789.543,31682.75,31270.188,13.0,412.562,-0.367,False,789.67
2022-05-18,789.98,789.59,31761.5,31323.153,13.0,438.347,-0.39,False,789.93
2022-05-19,789.94,789.527,31716.5,31252.368,13.0,464.132,-0.413,False,789.93
2022-05-20,790.03,789.595,31818.32,31328.403,13.0,489.917,-0.435,False,789.93
2022-05-21,790.03,789.572,31818.32,31302.618,13.0,515.702,-0.458,False,789.93
2022-05-22,789.98,789.499,31761.5,31220.012,13.0,541.488,-0.481,False,789.93
2022-05-23,789.97,789.466,31750.25,31182.977,13.0,567.273,-0.504,False,789.93
2022-05-24,789.97,789.443,31750.25,31157.192,13.0,593.058,-0.527,False,789.93
2022-05-25,789.94,789.39,31716.5,31097.657,13.0,618.843,-0.55,False,789.93
2022-05-26,789.89,789.317,31660.25,31015.622,13.0,644.628,-0.573,False,789.93
2022-05-27,789.84,789.244,31604.0,30933.587,13.0,670.413,-0.596,False,789.93
2022-05-28,789.9,789.281,31671.5,30975.302,13.0,696.198,-0.619,False,789.93
2022-05-29,790.3,789.663,32127.2,31405.217,13.0,721.983,-0.637,False,789.93
2022-05-30,790.33,789.671,32161.52,31413.751,13.0,747.769,-0.659,False,789.93
2022-05-31,790.14,789.455,31944.16,31170.606,13.0,773.554,-0.685,False,789.93
2022-06-01,790.05,789.34,31841.2,31041.861,20.0,799.339,-0.71,False,789.93
2022-06-02,789.86,789.114,31626.5,30787.492,20.0,839.008,-0.746,False,789.93
2022-06-03,789.66,788.877,31401.5,30522.822,20.0,878.678,-0.783,False,789.93
2022-06-04,789.52,788.698,31244.0,30325.653,20.0,918.347,-0.822,False,789.93
2022-06-05,789.55,788.692,31277.75,30319.733,20.0,958.017,-0.858,False,789.93
2022-06-06,789.65,788.758,31390.25,30392.564,20.0,997.686,-0.892,False,789.93
2022-06-07,789.74,788.814,31491.5,30454.145,20.0,1037.355,-0.926,False,789.93
2022-06-08,789.77,788.809,31525.25,30448.225,20.0,1077.025,-0.961,False,789.93
2022-06-09,789.76,788.763,31514.0,30397.306,20.0,1116.694,-0.997,False,789.93
2022-06-10,789.56,788.523,31289.0,30132.636,20.0,1156.364,-1.037,False,789.93
2022-06-11,790.28,789.222,32104.32,30908.287,20.0,1196.033,-1.058,False,789.93
2022-06-12,791.18,790.104,33139.14,31903.438,20.0,1235.702,-1.076,False,789.93
2022-06-13,790.6,789.476,32470.4,31195.028,20.0,1275.372,-1.124,False,789.93
2022-06-14,789.9,788.726,31671.5,30356.459,20.0,1315.041,-1.174,False,789.93
2022-06-15,789.61,788.394,31345.25,29990.539,20.0,1354.711,-1.216,False,789.93
2022-06-16,789.62,788.368,31356.5,29962.12,20.0,1394.38,-1.252,False,789.93
2022-06-17,789.57,788.281,31300.25,29866.2,20.0,1434.05,-1.289,False,789.93
2022-06-18,789.44,788.113,31154.0,29680.281,20.0,1473.719,-1.327,False,789.93
2022-06-19,789.29,787.922,30985.25,29471.862,20.0,1513.388,-1.368,False,789.93
2022-06-20,789.26,787.855,30951.5,29398.442,20.0,1553.058,-1.405,False,789.93
2022-06-21,789.17,787.724,30850.25,29257.523,20.0,1592.727,-1.446,False,789.93
2022-06-22,789.08,787.594,30749.0,29116.603,20.0,1632.397,-1.486,False,789.93
2022-06-23,789.01,787.485,30670.25,28998.184,20.0,1672.066,-1.525,False,789.93
2022-06-24,789.0,787.438,30659.0,28947.264,20.0,1711.736,-1.562,False,789.93
2022-06-25,788.96,787.361,30614.88,28863.475,20.0,1751.405,-1.599,False,789.93
2022-06-26,788.9,787.263,30548.7,28757.626,20.0,1791.074,-1.637,False,789.93
2022-06-27,788.81,787.135,30449.43,28618.686,20.0,1830.744,-1.675,False,789.93
2022-06-28,788.73,787.016,30361.19,28490.777,20.0,1870.413,-1.714,False,789.93
2022-06-29,788.69,786.938,30317.07,28406.987,20.0,1910.083,-1.752,False,789.93
2022-06-30,788.68,786.89,30306.04,28356.288,20.0,1949.752,-1.79,False,789.93
2022-07-01,788.66,786.832,30283.98,28294.559,30.0,1989.421,-1.828,False,789.93
2022-07-02,788.66,786.776,30283.98,28235.054,30.0,2048.926,-1.884,False,789.93
2022-07-03,788.69,786.751,30317.07,28208.64,30.0,2108.43,-1.939,False,789.93
2022-07-04,788.72,786.726,30350.16,28182.226,30.0,2167.934,-1.994,False,789.93
2022-07-05,788.79,786.743,30427.37,28199.932,30.0,2227.438,-2.047,False,789.93
2022-07-06,788.82,786.718,30460.46,28173.518,30.0,2286.942,-2.102,False,789.93
2022-07-07,788.84,786.682,30482.52,28136.074,30.0,2346.446,-2.158,False,789.93
2022-07-08,788.86,786.647,30504.58,28098.63,30.0,2405.95,-2.213,False,789.93
2022-07-09,788.86,786.591,30504.58,28039.125,30.0,2465.455,-2.269,False,789.93
2022-07-10,788.84,786.514,30482.52,27957.561,30.0,2524.959,-2.326,False,789.93
2022-07-11,788.84,786.458,30482.52,27898.057,30.0,2584.463,-2.382,False,789.93
2022-07-12,788.84,786.402,30482.52,27838.553,30.0,2643.967,-2.438,False,789.93
2022-07-13,788.84,786.346,30482.52,27779.049,30.0,2703.471,-2.494,False,789.93
2022-07-14,788.83,786.279,30471.49,27708.515,30.0,2762.975,-2.551,False,789.93
2022-07-15,788.82,786.213,30460.46,27637.981,30.0,2822.479,-2.607,False,789.93
2022-07-16,788.81,786.147,30449.43,27567.447,30.0,2881.983,-2.663,False,789.93
2022-07-17,788.81,786.09,30449.43,27507.942,30.0,2941.488,-2.72,False,789.93
2022-07-18,788.79,786.014,30427.37,27426.378,30.0,3000.992,-2.776,False,789.93
2022-07-19,788.77,785.935,30405.31,27344.814,30.0,3060.496,-2.835,False,789.93
2022-07-20,788.73,785.836,30361.19,27241.19,30.0,3120.0,-2.894,False,789.93
2022-07-21,788.7,785.747,30328.1,27148.596,30.0,3179.504,-2.953,False,789.93
2022-07-22,788.67,785.658,30295.01,27056.002,30.0,3239.008,-3.012,False,789.93
2022-07-23,788.64,785.569,30261.92,26963.408,30.0,3298.512,-3.071,False,789.93
2022-07-24,788.61,785.48,30228.83,26870.813,30.0,3358.017,-3.13,False,789.93
2022-07-25,788.57,785.381,30184.71,26767.189,30.0,3417.521,-3.189,False,789.93
2022-07-26,788.52,785.27,30129.56,26652.535,30.0,3477.025,-3.25,False,789.93
2022-07-27,788.48,785.171,30085.44,26548.911,30.0,3536.529,-3.309,False,789.93
2022-07-28,788.43,785.061,30030.29,26434.257,30.0,3596.033,-3.369,False,789.93
2022-07-29,788.39,784.96,29986.17,26330.633,30.0,3655.537,-3.43,False,789.93
2022-07-30,788.33,784.837,29919.99,26204.949,30.0,3715.041,-3.493,False,789.93
2022-07-31,788.27,784.714,29853.81,26079.265,30.0,3774.545,-3.556,False,789.93
2022-08-01,788.22,784.602,29798.66,25964.61,26.0,3834.05,-3.618,False,789.93
2022-08-02,788.16,784.487,29732.48,25846.86,26.0,3885.62,-3.673,False,789.93
2022-08-03,788.08,784.35,29644.24,25707.05,26.0,3937.19,-3.73,False,789.93
2022-08-04,788.01,784.224,29567.03,25578.27,26.0,3988.76,-3.786,False,789.93
2022-08-05,787.95,784.109,29501.85,25461.519,26.0,4040.331,-3.841,False,789.93
2022-08-06,787.88,783.984,29426.04,25334.139,26.0,4091.901,-3.896,False,789.93
2022-08-07,787.8,783.846,29339.4,25195.929,26.0,4143.471,-3.954,False,789.93
2022-08-08,787.73,783.719,29263.59,25068.549,26.0,4195.041,-4.011,False,789.93
2022-08-09,787.66,783.592,29187.78,24941.168,26.0,4246.612,-4.068,False,789.93
2022-08-10,787.6,783.476,29122.8,24824.618,26.0,4298.182,-4.124,False,789.93
2022-08-11,787.51,783.327,29025.33,24675.578,26.0,4349.752,-4.183,False,789.93
2022-08-12,787.44,783.2,28949.52,24548.198,26.0,4401.322,-4.24,False,789.93
2022-08-13,787.38,783.083,28884.54,24431.647,26.0,4452.893,-4.297,False,789.93
2022-08-14,787.3,782.944,28797.9,24293.437,26.0,4504.463,-4.356,False,789.93
2022-08-15,787.22,782.803,28711.26,24155.227,26.0,4556.033,-4.417,False,789.93
2022-08-16,787.14,782.663,28624.62,24017.017,26.0,4607.603,-4.477,False,789.93
2022-08-17,787.07,782.533,28548.81,23889.636,26.0,4659.174,-4.537,False,789.93
2022-08-18,787.01,782.414,28483.83,23773.086,26.0,4710.744,-4.596,False,789.93
2022-08-19,786.91,782.253,28377.51,23615.196,26.0,4762.314,-4.657,False,789.93
2022-08-20,786.84,782.125,28303.24,23489.356,26.0,4813.884,-4.715,False,789.93
2022-08-21,786.76,781.985,28218.36,23352.905,26.0,4865.455,-4.775,False,789.93
2022-08-22,786.68,781.844,28133.48,23216.455,26.0,4917.025,-4.836,False,789.93
2022-08-23,786.6,781.702,28048.6,23080.005,26.0,4968.595,-4.898,False,789.93
2022-08-24,786.5,781.538,27942.5,22922.335,26.0,5020.165,-4.962,False,789.93
2022-08-25,786.42,781.396,27857.62,22785.884,26.0,5071.736,-5.024,False,789.93
2022-08-26,786.33,781.243,27762.13,22638.824,26.0,5123.306,-5.087,False,789.93
2022-08-27,786.23,781.079,27656.03,22481.154,26.0,5174.876,-5.151,False,789.93
2022-08-28,786.14,780.925,27560.54,22334.094,26.0,5226.446,-5.215,False,789.93
2022-08-29,786.06,780.78,27475.66,22197.643,26.0,5278.017,-5.28,False,789.93
2022-08-30,785.97,780.624,27380.77,22051.183,26.0,5329.587,-5.346,False,789.93
2022-08-31,785.87,780.459,27276.67,21895.513,26.0,5381.157,-5.411,False,789.44
2022-09-01,785.82,780.349,27224.62,21791.893,17.0,5432.727,-5.471,False,788.96
2022-09-02,785.72,780.203,27120.52,21654.074,17.0,5466.446,-5.517,False,788.47
2022-09-03,785.64,780.079,27037.24,21537.075,17.0,5500.165,-5.561,False,787.99
2022-09-04,785.54,779.931,26933.14,21399.256,17.0,5533.884,-5.609,False,787.5
2022-09-05,785.44,779.781,26829.04,21261.437,17.0,5567.603,-5.659,False,787.02
2022-09-06,785.35,779.643,26735.35,21134.028,17.0,5601.322,-5.707,False,786.53
2022-09-07,785.26,779.505,26641.66,21006.619,17.0,5635.041,-5.755,False,786.05
2022-09-08,785.16,779.356,26537.56,20868.8,17.0,5668.76,-5.804,False,785.56
2022-09-09,785.06,779.206,26433.46,20730.981,17.0,5702.479,-5.854,False,785.08
2022-09-10,784.86,778.945,26228.06,20491.862,17.0,5736.198,-5.915,False,784.59
2022-09-11,784.64,778.658,26003.44,20233.523,17.0,5769.917,-5.982,False,784.11
2022-09-12,784.43,778.383,25789.03,19985.394,17.0,5803.636,-6.047,False,783.62
2022-09-13,783.97,777.819,25319.94,19482.585,17.0,5837.355,-6.151,False,783.14
2022-09-14,783.52,777.267,24869.04,18997.966,17.0,5871.074,-6.253,False,782.65
2022-09-15,783.08,776.719,24428.16,18523.367,17.0,5904.793,-6.361,False,782.16
2022-09-16,782.63,776.162,23985.03,18046.518,17.0,5938.512,-6.468,False,781.68
2022-09-17,782.17,775.585,23533.77,17561.539,17.0,5972.231,-6.585,False,781.19
2022-09-18,781.72,775.021,23097.64,17091.69,17.0,6005.95,-6.699,False,780.71
2022-09-19,781.25,774.423,22645.5,16605.831,17.0,6039.669,-6.827,False,780.22
2022-09-20,780.81,773.861,22226.02,16152.632,17.0,6073.388,-6.949,False,779.74
2022-09-21,780.36,773.28,21802.12,15695.013,17.0,6107.107,-7.08,False,779.25
2022-09-22,779.9,772.68,21370.8,15229.974,17.0,6140.826,-7.22,False,778.77
2022-09-23,779.44,772.08,20946.68,14772.135,17.0,6174.545,-7.36,False,778.28
2022-09-24,778.97,771.452,20514.0,14305.736,17.0,6208.264,-7.518,False,777.8
2022-09-25,778.47,770.792,20064.0,13822.017,17.0,6241.983,-7.678,False,777.31
2022-09-26,777.94,770.081,19588.38,13312.678,17.0,6275.702,-7.859,False,776.83
2022-09-27,777.37,769.316,19088.49,12779.069,17.0,6309.421,-8.054,False,776.34
2022-09-28,776.82,768.567,18609.92,12266.78,17.0,6343.14,-8.253,False,775.86
2022-09-29,776.25,767.788,18122.0,11745.14,17.0,6376.86,-8.462,False,775.37
2022-09-30,775.68,767.004,17641.12,11230.541,17.0,6410.579,-8.676,False,774.55
2022-10-01,775.09,766.179,17149.06,10704.762,0.0,6444.298,-8.911,False,773.74
2022-10-02,774.5,765.406,16668.0,10223.702,0.0,6444.298,-9.094,False,772.92
2022-10-03,773.9,764.61,16183.2,9738.902,0.0,6444.298,-9.29,False,772.11
2022-10-04,773.29,763.803,15702.52,9258.222,0.0,6444.298,-9.487,False,771.29
2022-10-05,772.68,762.99,15229.84,8785.542,0.0,6444.298,-9.69,False,770.48
2022-10-06,772.06,762.152,14756.78,8312.482,0.0,6444.298,-9.908,False,769.66
2022-10-07,771.44,761.314,14296.6,7852.302,0.0,6444.298,-10.126,False,768.85
2022-10-08,770.82,760.464,13842.12,7397.822,0.0,6444.298,-10.356,False,768.03
2022-10-09,770.18,759.58,13383.88,6939.582,0.0,6444.298,-10.6,False,767.22
2022-10-10,769.52,758.65,12920.92,6476.622,0.0,6444.298,-10.87,False,766.4
2022-10-11,768.88,757.715,12478.0,6033.702,0.0,6444.298,-11.165,False,765.59
2022-10-12,768.23,756.741,12039.25,5594.952,0.0,6444.298,-11.489,False,764.77
2022-10-13,767.54,755.667,11582.24,5137.942,0.0,6444.298,-11.873,False,763.96
2022-10-14,766.85,754.544,11132.45,4688.152,0.0,6444.298,-12.306,False,763.14
2022-10-15,766.16,753.374,10692.92,4248.622,0.0,6444.298,-12.786,False,762.33
2022-10-16,765.44,752.097,10244.92,3800.622,0.0,6444.298,-13.343,False,761.51
2022-10-17,764.72,750.729,9805.0,3360.702,0.0,6444.298,-13.991,False,760.7
2022-10-18,764.01,749.291,9379.0,2934.702,0.0,6444.298,-14.719,False,759.88
2022-10-19,763.25,747.669,8936.5,2492.202,0.0,6444.298,-15.581,False,759.07
2022-10-20,762.49,745.935,8503.36,2059.062,0.0,6444.298,-16.555,False,758.25
2022-10-21,761.76,744.118,8095.96,1651.662,0.0,6444.298,-17.642,False,757.44
2022-10-22,760.71,741.039,7527.88,1083.582,0.0,6444.298,-19.671,False,756.62
2022-10-23,759.58,736.229,6939.64,495.342,0.0,6444.298,-23.351,False,755.81
2022-10-24,758.37,720.0,6341.97,3.0,0.0,6444.298,-38.37,True,754.99
2022-10-25,757.2,720.0,5798.4,3.0,0.0,6444.298,-37.2,True,754.18
2022-10-26,755.99,720.0,5269.91,3.0,0.0,6444.298,-35.99,True,753.36
