date,elev_observed_ft,elev_adjusted_ft,storage_observed_af,storage_adjusted_af,demand_cfs,cumulative_withdrawal_af,elev_change_ft,at_rating_floor,elev_rule_ft
2022-01-01,920.75,920.75,163033.5,163033.5,0.0,0.0,0.0,False,922.01
2022-01-02,917.96,917.96,157347.84,157347.84,0.0,0.0,0.0,False,922.01
2022-01-03,916.12,916.12,153675.44,153675.44,0.0,0.0,0.0,False,922.01
2022-01-04,914.27,914.27,150038.12,150038.12,0.0,0.0,0.0,False,922.01
2022-01-05,914.87,914.87,151211.72,151211.72,0.0,0.0,0.0,False,922.01
2022-01-06,924.06,924.06,169987.18,169987.18,0.0,0.0,0.0,False,922.01
2022-01-07,933.67,933.67,191634.18,191634.18,0.0,0.0,0.0,False,922.01
2022-01-08,938.08,938.08,202222.08,202222.08,0.0,0.0,0.0,False,922.01
2022-01-09,938.06,938.06,202173.06,202173.06,0.0,0.0,0.0,False,922.01
2022-01-10,937.2,937.2,200078.8,200078.8,0.0,0.0,0.0,False,922.01
2022-01-11,936.23,936.23,197733.22,197733.22,0.0,0.0,0.0,False,922.01
2022-01-12,935.41,935.41,195765.54,195765.54,0.0,0.0,0.0,False,922.01
2022-01-13,935.26,935.26,195406.44,195406.44,0.0,0.0,0.0,False,922.01
2022-01-14,935.54,935.54,196076.76,196076.76,0.0,0.0,0.0,False,922.01
2022-01-15,934.91,934.91,194570.43,194570.43,0.0,0.0,0.0,False,922.01
2022-01-16,933.86,933.86,192081.44,192081.44,0.0,0.0,0.0,False,922.01
2022-01-17,932.74,932.74,189450.68,189450.68,0.0,0.0,0.0,False,922.01
2022-01-18,931.52,931.52,186615.24,186615.24,0.0,0.0,0.0,False,922.01
2022-01-19,930.37,930.37,183970.93,183970.93,0.0,0.0,0.0,False,922.01
2022-01-20,931.18,931.18,185829.16,185829.16,0.0,0.0,0.0,False,922.01
2022-01-21,931.67,931.67,186962.04,186962.04,0.0,0.0,0.0,False,922.01
2022-01-22,931.04,931.04,185505.48,185505.48,0.0,0.0,0.0,False,922.01
2022-01-23,929.97,929.97,183055.99,183055.99,0.0,0.0,0.0,False,922.01
2022-01-24,929.46,929.46,181899.82,181899.82,0.0,0.0,0.0,False,922.01
2022-01-25,928.89,928.89,180610.05,180610.05,0.0,0.0,0.0,False,922.01
2022-01-26,928.1,928.1,178836.5,178836.5,0.0,0.0,0.0,False,922.01
2022-01-27,927.09,927.09,176589.98,176589.98,0.0,0.0,0.0,False,922.01
2022-01-28,925.95,925.95,174081.05,174081.05,0.0,0.0,0.0,False,922.01
2022-01-29,924.71,924.71,171386.63,171386.63,0.0,0.0,0.0,False,922.01
2022-01-30,923.87,923.87,169581.49,169581.49,0.0,0.0,0.0,False,922.01
2022-01-31,923.97,923.97,169794.19,169794.19,0.0,0.0,0.0,False,923.71
2022-02-01,924.98,924.98,171967.94,171967.94,0.0,0.0,0.0,False,925.42
2022-02-02,925.74,925.74,173623.46,173623.46,0.0,0.0,0.0,False,927.12
2022-02-03,926.32,926.32,174894.0,174894.0,0.0,0.0,0.0,False,928.83
2022-02-04,927.04,927.04,176478.88,176478.88,0.0,0.0,0.0,False,930.53
2022-02-05,927.74,927.74,178034.28,178034.28,0.0,0.0,0.0,False,932.24
2022-02-06,928.37,928.37,179442.65,179442.65,0.0,0.0,0.0,False,933.94
2022-02-07,928.99,928.99,180834.55,180834.55,0.0,0.0,0.0,False,935.64
2022-02-08,929.58,929.58,182171.86,182171.86,0.0,0.0,0.0,False,937.35
2022-02-09,930.15,930.15,183467.35,183467.35,0.0,0.0,0.0,False,939.05
2022-02-10,930.81,930.81,184978.09,184978.09,0.0,0.0,0.0,False,940.76
2022-02-11,931.53,931.53,186638.36,186638.36,0.0,0.0,0.0,False,942.46
2022-02-12,932.22,932.22,188238.04,188238.04,0.0,0.0,0.0,False,944.17
2022-02-13,932.85,932.85,189707.2,189707.2,0.0,0.0,0.0,False,945.87
2022-02-14,933.65,933.65,191587.1,191587.1,0.0,0.0,0.0,False,947.57
2022-02-15,934.37,934.37,193289.01,193289.01,0.0,0.0,0.0,False,949.28
2022-02-16,934.98,934.98,194736.54,194736.54,0.0,0.0,0.0,False,950.98
2022-02-17,935.51,935.51,196004.94,196004.94,0.0,0.0,0.0,False,952.69
2022-02-18,935.94,935.94,197034.36,197034.36,0.0,0.0,0.0,False,954.39
2022-02-19,936.33,936.33,197974.62,197974.62,0.0,0.0,0.0,False,956.1
2022-02-20,936.86,936.86,199254.04,199254.04,0.0,0.0,0.0,False,957.8
2022-02-21,937.42,937.42,200614.28,200614.28,0.0,0.0,0.0,False,959.5
2022-02-22,937.85,937.85,201660.9,201660.9,0.0,0.0,0.0,False,961.21
2022-02-23,938.14,938.14,202369.14,202369.14,0.0,0.0,0.0,False,962.91
2022-02-24,938.41,938.41,203030.91,203030.91,0.0,0.0,0.0,False,964.62
2022-02-25,938.65,938.65,203619.15,203619.15,0.0,0.0,0.0,False,966.32
2022-02-26,938.87,938.87,204158.37,204158.37,0.0,0.0,0.0,False,968.03
2022-02-27,939.13,939.13,204797.71,204797.71,0.0,0.0,0.0,False,969.73
2022-02-28,942.51,942.51,213217.22,213217.22,0.0,0.0,0.0,False,970.3
