date,elev_observed_ft,elev_adjusted_ft,storage_observed_af,storage_adjusted_af,demand_cfs,cumulative_withdrawal_af,elev_change_ft,at_rating_floor
2023-01-01,757.07,757.07,5738.99,5738.99,0.0,0.0,0.0,False
2023-01-02,755.8,755.8,5192.2,5192.2,0.0,0.0,0.0,False
2023-01-03,754.05,754.05,4496.4,4496.4,0.0,0.0,0.0,False
2023-01-04,752.09,752.09,3798.05,3798.05,0.0,0.0,0.0,False
2023-01-05,751.07,751.07,3465.68,3465.68,0.0,0.0,0.0,False
2023-01-06,750.75,750.75,3367.0,3367.0,0.0,0.0,0.0,False
2023-01-07,750.49,750.49,3287.96,3287.96,0.0,0.0,0.0,False
2023-01-08,750.56,750.56,3309.24,3309.24,0.0,0.0,0.0,False
2023-01-09,750.65,750.65,3336.6,3336.6,0.0,0.0,0.0,False
2023-01-10,750.8,750.8,3382.2,3382.2,0.0,0.0,0.0,False
2023-01-11,750.8,750.8,3382.2,3382.2,0.0,0.0,0.0,False
2023-01-12,750.75,750.75,3367.0,3367.0,0.0,0.0,0.0,False
2023-01-13,750.76,750.76,3370.04,3370.04,0.0,0.0,0.0,False
2023-01-14,751.3,751.3,3540.2,3540.2,0.0,0.0,0.0,False
2023-01-15,751.72,751.72,3676.28,3676.28,0.0,0.0,0.0,False
2023-01-16,751.96,751.96,3754.04,3754.04,0.0,0.0,0.0,False
2023-01-17,751.81,751.81,3705.44,3705.44,0.0,0.0,0.0,False
2023-01-18,751.68,751.68,3663.32,3663.32,0.0,0.0,0.0,False
2023-01-19,751.49,751.49,3601.76,3601.76,0.0,0.0,0.0,False
2023-01-20,751.1,751.1,3475.4,3475.4,0.0,0.0,0.0,False
2023-01-21,750.53,750.53,3300.12,3300.12,0.0,0.0,0.0,False
2023-01-22,749.9,749.9,3110.2,3110.2,0.0,0.0,0.0,False
2023-01-23,749.97,749.97,3130.36,3130.36,0.0,0.0,0.0,False
2023-01-24,750.08,750.08,3163.32,3163.32,0.0,0.0,0.0,False
2023-01-25,750.08,750.08,3163.32,3163.32,0.0,0.0,0.0,False
