date,elev_observed_ft,elev_adjusted_ft,storage_observed_af,storage_adjusted_af,demand_cfs,cumulative_withdrawal_af,elev_change_ft,at_rating_floor
2024-01-01,681.02,681.02,1.22,1.22,0.0,0.0,0.0,False
2024-01-02,680.65,680.65,0.75,0.75,0.0,0.0,0.0,False
2024-01-03,680.71,680.71,0.81,0.81,0.0,0.0,0.0,False
2024-01-04,684.43,684.43,25.53,25.53,0.0,0.0,0.0,False
2024-01-05,684.19,684.19,22.89,22.89,0.0,0.0,0.0,False
2024-01-06,686.32,686.32,53.14,53.14,0.0,0.0,0.0,False
2024-01-07,686.91,686.91,64.2,64.2,0.0,0.0,0.0,False
2024-01-08,687.45,687.45,75.45,75.45,0.0,0.0,0.0,False
2024-01-09,707.49,707.49,2553.08,2553.08,0.0,0.0,0.0,False
2024-01-10,709.27,709.27,2967.1,2967.1,0.0,0.0,0.0,False
2024-01-11,704.22,704.22,1881.42,1881.42,0.0,0.0,0.0,False
2024-01-12,709.22,709.22,2955.1,2955.1,0.0,0.0,0.0,False
2024-01-13,722.64,722.64,7242.78,7242.78,0.0,0.0,0.0,False
2024-01-14,733.95,733.95,12383.2,12383.2,0.0,0.0,0.0,False
2024-01-15,741.28,741.28,16430.8,16430.8,0.0,0.0,0.0,False
2024-01-16,745.22,745.22,18796.32,18796.32,0.0,0.0,0.0,False
2024-01-17,754.49,754.49,24905.29,24905.29,0.0,0.0,0.0,False
2024-01-18,767.2,767.2,34688.9,34688.9,0.0,0.0,0.0,False
2024-01-19,774.31,774.31,40936.7,40936.7,0.0,0.0,0.0,False
2024-01-20,778.44,778.44,44851.78,44851.78,0.0,0.0,0.0,False
2024-01-21,780.95,780.95,47347.55,47347.55,0.0,0.0,0.0,False
2024-01-22,782.47,782.47,48902.45,48902.45,0.0,0.0,0.0,False
2024-01-23,783.03,783.03,49484.49,49484.49,0.0,0.0,0.0,False
2024-01-24,782.39,782.39,48819.68,48819.68,0.0,0.0,0.0,False
2024-01-25,780.48,780.48,46873.72,46873.72,0.0,0.0,0.0,False
2024-01-26,778.98,778.98,45381.62,45381.62,0.0,0.0,0.0,False
2024-01-27,780.04,780.04,46432.86,46432.86,0.0,0.0,0.0,False
2024-01-28,778.82,778.82,45224.26,45224.26,0.0,0.0,0.0,False
2024-01-29,775.98,775.98,42490.98,42490.98,0.0,0.0,0.0,False
2024-01-30,770.59,770.59,37597.05,37597.05,0.0,0.0,0.0,False
2024-01-31,764.38,764.38,32363.82,32363.82,0.0,0.0,0.0,False
2024-02-01,757.64,757.64,27167.96,27167.96,0.0,0.0,0.0,False
2024-02-02,750.26,750.26,22018.54,22018.54,0.0,0.0,0.0,False
2024-02-03,743.46,743.46,17725.72,17725.72,0.0,0.0,0.0,False
2024-02-04,737.58,737.58,14319.12,14319.12,0.0,0.0,0.0,False
2024-02-05,733.35,733.35,12076.9,12076.9,0.0,0.0,0.0,False
2024-02-06,730.94,730.94,10879.54,10879.54,0.0,0.0,0.0,False
2024-02-07,729.17,729.17,10040.31,10040.31,0.0,0.0,0.0,False
2024-02-08,728.58,728.58,9768.56,9768.56,0.0,0.0,0.0,False
2024-02-09,728.45,728.45,9709.15,9709.15,0.0,0.0,0.0,False
2024-02-10,727.54,727.54,9298.08,9298.08,0.0,0.0,0.0,False
2024-02-11,725.85,725.85,8561.7,8561.7,0.0,0.0,0.0,False
2024-02-12,722.29,722.29,7104.57,7104.57,0.0,0.0,0.0,False
2024-02-13,716.34,716.34,4975.22,4975.22,0.0,0.0,0.0,False
2024-02-14,710.12,710.12,3176.14,3176.14,0.0,0.0,0.0,False
2024-02-15,708.11,708.11,2693.71,2693.71,0.0,0.0,0.0,False
2024-02-16,717.38,717.38,5316.64,5316.64,0.0,0.0,0.0,False
2024-02-17,713.19,713.19,4011.3,4011.3,0.0,0.0,0.0,False
2024-02-18,707.04,707.04,2453.92,2453.92,0.0,0.0,0.0,False
2024-02-19,702.56,702.56,1575.92,1575.92,0.0,0.0,0.0,False
2024-02-20,700.76,700.76,1273.78,1273.78,0.0,0.0,0.0,False
2024-02-21,699.6,699.6,1097.7,1097.7,0.0,0.0,0.0,False
2024-02-22,699.7,699.7,1112.3,1112.3,0.0,0.0,0.0,False
2024-02-23,699.48,699.48,1080.32,1080.32,0.0,0.0,0.0,False
2024-02-24,699.96,699.96,1150.74,1150.74,0.0,0.0,0.0,False
2024-02-25,699.97,699.97,1152.23,1152.23,0.0,0.0,0.0,False
2024-02-26,703.19,703.19,1689.18,1689.18,0.0,0.0,0.0,False
2024-02-27,703.91,703.91,1822.69,1822.69,0.0,0.0,0.0,False
2024-02-28,703.88,703.88,1817.04,1817.04,0.0,0.0,0.0,False
2024-02-29,708.89,708.89,2876.23,2876.23,0.0,0.0,0.0,False
2024-03-01,708.34,708.34,2746.98,2746.98,0.0,0.0,0.0,False
2024-03-02,705.69,705.69,2169.98,2169.98,0.0,0.0,0.0,False
2024-03-03,704.52,704.52,1938.96,1938.96,0.0,0.0,0.0,False
2024-03-04,703.95,703.95,1830.25,1830.25,0.0,0.0,0.0,False
2024-03-05,703.38,703.38,1724.02,1724.02,0.0,0.0,0.0,False
2024-03-06,702.2,702.2,1512.8,1512.8,0.0,0.0,0.0,False
2024-03-07,699.8,699.8,1127.0,1127.0,0.0,0.0,0.0,False
2024-03-08,698.77,698.77,980.46,980.46,0.0,0.0,0.0,False
2024-03-09,701.08,701.08,1325.06,1325.06,0.0,0.0,0.0,False
2024-03-10,703.26,703.26,1701.98,1701.98,0.0,0.0,0.0,False
2024-03-11,703.87,703.87,1815.16,1815.16,0.0,0.0,0.0,False
2024-03-12,704.83,704.83,1999.08,1999.08,0.0,0.0,0.0,False
2024-03-13,705.8,705.8,2192.3,2192.3,0.0,0.0,0.0,False
2024-03-14,703.92,703.92,1824.58,1824.58,0.0,0.0,0.0,False
2024-03-15,700.94,700.94,1302.5,1302.5,0.0,0.0,0.0,False
2024-03-16,703.49,703.49,1744.26,1744.26,0.0,0.0,0.0,False
2024-03-17,708.28,708.28,2733.06,2733.06,0.0,0.0,0.0,False
2024-03-18,713.6,713.6,4131.1,4131.1,0.0,0.0,0.0,False
2024-03-19,718.33,718.33,5639.48,5639.48,0.0,0.0,0.0,False
2024-03-20,722.0,722.0,6991.0,6991.0,0.0,0.0,0.0,False
2024-03-21,724.8,724.8,8120.6,8120.6,0.0,0.0,0.0,False
2024-03-22,727.14,727.14,9120.54,9120.54,0.0,0.0,0.0,False
2024-03-23,729.2,729.2,10054.2,10054.2,0.0,0.0,0.0,False
2024-03-24,730.99,730.99,10903.84,10903.84,0.0,0.0,0.0,False
2024-03-25,732.79,732.79,11793.98,11793.98,0.0,0.0,0.0,False
2024-03-26,735.18,735.18,13022.18,13022.18,0.0,0.0,0.0,False
2024-03-27,738.58,738.58,14878.24,14878.24,0.0,0.0,0.0,False
2024-03-28,742.64,742.64,17234.54,17234.54,0.0,0.0,0.0,False
2024-03-29,745.89,745.89,19210.69,19210.69,0.0,0.0,0.0,False
2024-03-30,748.27,748.27,20715.85,20715.85,0.0,0.0,0.0,False
2024-03-31,750.1,750.1,21912.4,21912.4,0.0,0.0,0.0,False
2024-04-01,751.47,751.47,22828.08,22828.08,0.0,0.0,0.0,False
2024-04-02,752.58,752.58,23582.12,23582.12,0.0,0.0,0.0,False
2024-04-03,753.67,753.67,24333.28,24333.28,0.0,0.0,0.0,False
2024-04-04,754.85,754.85,25158.45,25158.45,0.0,0.0,0.0,False
2024-04-05,755.94,755.94,25934.12,25934.12,0.0,0.0,0.0,False
2024-04-06,757.0,757.0,26700.2,26700.2,0.0,0.0,0.0,False
2024-04-07,758.48,758.48,27788.06,27788.06,0.0,0.0,0.0,False
2024-04-08,759.93,759.93,28875.54,28875.54,0.0,0.0,0.0,False
2024-04-09,761.18,761.18,29833.82,29833.82,0.0,0.0,0.0,False
2024-04-10,762.21,762.21,30636.65,30636.65,0.0,0.0,0.0,False
2024-04-11,763.1,763.1,31338.8,31338.8,0.0,0.0,0.0,False
2024-04-12,763.87,763.87,31953.04,31953.04,0.0,0.0,0.0,False
2024-04-13,764.7,764.7,32623.2,32623.2,0.0,0.0,0.0,False
2024-04-14,766.13,766.13,33796.64,33796.64,0.0,0.0,0.0,False
2024-04-15,767.44,767.44,34890.68,34890.68,0.0,0.0,0.0,False
2024-04-16,768.58,768.58,35857.72,35857.72,0.0,0.0,0.0,False
2024-04-17,769.52,769.52,36666.1,36666.1,0.0,0.0,0.0,False
2024-04-18,770.31,770.31,37352.33,37352.33,0.0,0.0,0.0,False
2024-04-19,770.98,770.98,37939.32,37939.32,0.0,0.0,0.0,False
2024-04-20,771.55,771.55,38442.85,38442.85,0.0,0.0,0.0,False
2024-04-21,772.04,772.04,38879.02,38879.02,0.0,0.0,0.0,False
2024-04-22,772.49,772.49,39282.02,39282.02,0.0,0.0,0.0,False
2024-04-23,772.89,772.89,39642.27,39642.27,0.0,0.0,0.0,False
2024-04-24,773.24,773.24,39959.08,39959.08,0.0,0.0,0.0,False
2024-04-25,773.67,773.67,40350.24,40350.24,0.0,0.0,0.0,False
2024-04-26,775.34,775.34,41891.32,41891.32,0.0,0.0,0.0,False
2024-04-27,777.59,777.59,44026.06,44026.06,0.0,0.0,0.0,False
2024-04-28,779.47,779.47,45865.67,45865.67,0.0,0.0,0.0,False
2024-04-29,781.72,781.72,48130.76,48130.76,0.0,0.0,0.0,False
2024-04-30,784.02,784.02,50524.88,50524.88,0.0,0.0,0.0,False
2024-05-01,785.77,785.77,52399.48,52399.48,49.0,0.0,0.0,False
2024-05-02,788.09,788.004,54965.93,54868.74,49.0,97.19,-0.086,False
2024-05-03,790.24,790.072,57424.76,57230.38,49.0,194.38,-0.168,False
2024-05-04,794.39,794.151,62359.72,62068.15,49.0,291.57,-0.239,False
2024-05-05,801.01,800.716,70776.63,70387.87,49.0,388.76,-0.294,False
2024-05-06,805.43,805.08,76776.66,76290.71,49.0,485.95,-0.35,False
2024-05-07,809.4,809.0,82438.5,81855.36,49.0,583.14,-0.4,False
2024-05-08,811.89,811.438,86138.03,85457.699,49.0,680.331,-0.452,False
2024-05-09,813.57,813.062,88695.12,87917.599,49.0,777.521,-0.508,False
2024-05-10,814.82,814.256,90627.74,89753.029,49.0,874.711,-0.564,False
2024-05-11,815.77,815.15,92113.94,91142.039,49.0,971.901,-0.62,False
2024-05-12,816.52,815.843,93297.7,92228.609,49.0,1069.091,-0.677,False
2024-05-13,817.12,816.385,94250.76,93084.479,49.0,1166.281,-0.735,False
2024-05-14,817.6,816.807,95016.8,93753.329,49.0,1263.471,-0.793,False
2024-05-15,818.0,817.149,95657.7,94297.039,49.0,1360.661,-0.851,False
2024-05-16,818.33,817.421,96188.23,94730.379,49.0,1457.851,-0.909,False
2024-05-17,818.62,817.652,96655.8,95100.759,49.0,1555.041,-0.968,False
2024-05-18,818.87,817.844,97059.96,95407.729,49.0,1652.231,-1.026,False
2024-05-19,819.08,817.996,97400.16,95650.739,49.0,1749.421,-1.084,False
2024-05-20,819.27,818.127,97708.58,95861.968,49.0,1846.612,-1.143,False
2024-05-21,819.43,818.229,97968.74,96024.938,49.0,1943.802,-1.201,False
2024-05-22,819.63,818.371,98294.53,96253.538,49.0,2040.992,-1.259,False
2024-05-23,819.74,818.422,98473.98,96335.798,49.0,2138.182,-1.318,False
2024-05-24,819.84,818.463,98637.22,96401.848,49.0,2235.372,-1.377,False
2024-05-25,819.92,818.483,98767.9,96435.338,49.0,2332.562,-1.437,False
2024-05-26,819.99,818.494,98882.35,96452.598,49.0,2429.752,-1.496,False
2024-05-27,820.04,818.485,98964.18,96437.238,49.0,2526.942,-1.555,False
2024-05-28,820.07,818.455,99013.29,96389.158,49.0,2624.132,-1.615,False
2024-05-29,820.1,818.425,99062.4,96341.078,49.0,2721.322,-1.675,False
2024-05-30,820.1,818.365,99062.4,96243.888,49.0,2818.512,-1.735,False
2024-05-31,820.1,818.304,99062.4,96146.698,49.0,2915.702,-1.796,False
2024-06-01,820.09,818.234,99046.03,96033.137,75.0,3012.893,-1.856,False
2024-06-02,820.16,818.212,99160.68,95999.027,75.0,3161.653,-1.948,False
2024-06-03,820.85,818.823,100294.4,96983.987,75.0,3310.413,-2.027,False
2024-06-04,821.24,819.129,100938.16,97478.986,75.0,3459.174,-2.111,False
2024-06-05,821.45,819.251,101285.75,97677.816,75.0,3607.934,-2.199,False
2024-06-06,821.59,819.302,101517.82,97761.126,75.0,3756.694,-2.288,False
2024-06-07,821.68,819.303,101667.12,97761.665,75.0,3905.455,-2.377,False
2024-06-08,821.73,819.262,101750.13,97695.915,75.0,4054.215,-2.468,False
2024-06-09,821.75,819.191,101783.35,97580.375,75.0,4202.975,-2.559,False
2024-06-10,821.75,819.099,101783.35,97431.614,75.0,4351.736,-2.651,False
2024-06-11,821.74,818.997,101766.74,97266.244,75.0,4500.496,-2.743,False
2024-06-12,821.71,818.875,101716.91,97067.654,75.0,4649.256,-2.835,False
2024-06-13,821.66,818.731,101633.94,96835.923,75.0,4798.017,-2.929,False
2024-06-14,821.61,818.588,101550.99,96604.213,75.0,4946.777,-3.022,False
2024-06-15,821.57,818.455,101484.66,96389.123,75.0,5095.537,-3.115,False
2024-06-16,821.51,818.301,101385.18,96140.882,75.0,5244.298,-3.209,False
2024-06-17,821.47,818.167,101318.89,95925.832,75.0,5393.058,-3.303,False
2024-06-18,821.42,818.023,101236.04,95694.222,75.0,5541.818,-3.397,False
2024-06-19,821.34,817.847,101103.6,95413.021,75.0,5690.579,-3.493,False
2024-06-20,821.26,817.672,100971.24,95131.901,75.0,5839.339,-3.588,False
2024-06-21,821.18,817.496,100838.96,94850.861,75.0,5988.099,-3.684,False
2024-06-22,821.07,817.289,100657.27,94520.41,75.0,6136.86,-3.781,False
2024-06-23,820.98,817.103,100508.72,94223.1,75.0,6285.62,-3.877,False
2024-06-24,820.88,816.906,100343.84,93909.46,75.0,6434.38,-3.974,False
2024-06-25,820.77,816.698,100162.59,93579.45,75.0,6583.14,-4.072,False
2024-06-26,820.65,816.479,99965.05,93233.149,75.0,6731.901,-4.171,False
2024-06-27,820.55,816.281,99800.65,92919.989,75.0,6880.661,-4.269,False
2024-06-28,820.43,816.062,99603.49,92574.069,75.0,7029.421,-4.368,False
2024-06-29,820.32,815.853,99422.92,92244.738,75.0,7178.182,-4.467,False
2024-06-30,820.19,815.623,99209.82,91882.878,75.0,7326.942,-4.567,False
2024-07-01,820.06,815.392,98996.92,91521.218,111.0,7475.702,-4.668,False
2024-07-02,819.92,815.105,98767.9,91072.032,111.0,7695.868,-4.815,False
2024-07-03,819.79,814.828,98555.58,90639.547,111.0,7916.033,-4.962,False
2024-07-04,819.65,814.539,98327.15,90190.952,111.0,8136.198,-5.111,False
2024-07-05,819.51,814.25,98098.99,89742.626,111.0,8356.364,-5.26,False
2024-07-06,819.36,813.949,97854.86,89278.331,111.0,8576.529,-5.411,False
2024-07-07,819.2,813.637,97594.9,88798.206,111.0,8796.694,-5.563,False
2024-07-08,819.05,813.335,97351.5,88334.64,111.0,9016.86,-5.715,False
2024-07-09,818.89,813.022,97092.32,87855.295,111.0,9237.025,-5.868,False
2024-07-10,818.72,812.697,96817.34,87360.15,111.0,9457.19,-6.023,False
2024-07-11,818.55,812.371,96542.85,86865.495,111.0,9677.355,-6.179,False
2024-07-12,818.38,812.044,96268.78,86371.259,111.0,9897.521,-6.336,False
2024-07-13,818.22,811.728,96011.18,85893.494,111.0,10117.686,-6.492,False
2024-07-14,818.04,811.389,95721.94,85384.089,111.0,10337.851,-6.651,False
2024-07-15,817.87,811.059,95449.11,84891.093,111.0,10558.017,-6.811,False
2024-07-16,817.68,810.707,95144.8,84366.618,111.0,10778.182,-6.973,False
2024-07-17,817.51,810.376,94872.89,83874.543,111.0,10998.347,-7.134,False
