date,elev_observed_ft,elev_adjusted_ft,storage_observed_af,storage_adjusted_af,demand_cfs,cumulative_withdrawal_af,elev_change_ft,at_rating_floor,elev_rule_ft
2025-01-01,1271.34,1271.34,27436.0,27436.0,0.0,0.0,0.0,False,1180.13
2025-01-02,1272.7,1272.7,28050.0,28050.0,0.0,0.0,0.0,False,1180.13
2025-01-03,1278.78,1278.78,30890.0,30890.0,0.0,0.0,0.0,False,1180.13
2025-01-04,1282.77,1282.77,32985.0,32985.0,0.0,0.0,0.0,False,1180.13
2025-01-05,1286.85,1286.85,35210.0,35210.0,0.0,0.0,0.0,False,1180.13
2025-01-06,1289.28,1289.28,36568.0,36568.0,0.0,0.0,0.0,False,1180.13
2025-01-07,1289.06,1289.06,36436.0,36436.0,0.0,0.0,0.0,False,1180.13
2025-01-08,1287.39,1287.39,35495.0,35495.0,0.0,0.0,0.0,False,1180.13
2025-01-09,1281.97,1281.97,32585.0,32585.0,0.0,0.0,0.0,False,1180.13
2025-01-10,1272.97,1272.97,28185.0,28185.0,0.0,0.0,0.0,False,1180.13
2025-01-11,1263.25,1263.25,24000.0,24000.0,0.0,0.0,0.0,False,1180.13
2025-01-12,1252.53,1252.53,20112.0,20112.0,0.0,0.0,0.0,False,1180.13
2025-01-13,1239.06,1239.06,15918.0,15918.0,0.0,0.0,0.0,False,1180.13
2025-01-14,1225.88,1225.88,12464.0,12464.0,0.0,0.0,0.0,False,1180.13
2025-01-15,1218.42,1218.42,10684.0,10684.0,0.0,0.0,0.0,False,1180.13
2025-01-16,1214.26,1214.26,9752.0,9752.0,0.0,0.0,0.0,False,1180.13
2025-01-17,1209.58,1209.58,8816.0,8816.0,0.0,0.0,0.0,False,1180.13
2025-01-18,1204.34,1204.34,7768.0,7768.0,0.0,0.0,0.0,False,1180.13
2025-01-19,1198.65,1198.65,6830.0,6830.0,0.0,0.0,0.0,False,1180.13
2025-01-20,1192.49,1192.49,5798.0,5798.0,0.0,0.0,0.0,False,1180.13
2025-01-21,1185.56,1185.56,4756.0,4756.0,0.0,0.0,0.0,False,1180.13
2025-01-22,1180.11,1180.11,4011.0,4011.0,0.0,0.0,0.0,False,1180.13
2025-01-23,1180.64,1180.64,4064.0,4064.0,0.0,0.0,0.0,False,1180.13
2025-01-24,1180.88,1180.88,4088.0,4088.0,0.0,0.0,0.0,False,1180.13
2025-01-25,1180.73,1180.73,4073.0,4073.0,0.0,0.0,0.0,False,1180.13
2025-01-26,1180.52,1180.52,4052.0,4052.0,0.0,0.0,0.0,False,1180.13
2025-01-27,1180.44,1180.44,4044.0,4044.0,0.0,0.0,0.0,False,1180.13
2025-01-28,1180.22,1180.22,4022.0,4022.0,0.0,0.0,0.0,False,1180.13
2025-01-29,1180.35,1180.35,4035.0,4035.0,0.0,0.0,0.0,False,1180.13
2025-01-30,1180.28,1180.28,4028.0,4028.0,0.0,0.0,0.0,False,1180.13
2025-01-31,1184.89,1184.89,4678.0,4678.0,0.0,0.0,0.0,False,1183.98
2025-02-01,1198.43,1198.43,6786.0,6786.0,0.0,0.0,0.0,False,1187.82
2025-02-02,1202.87,1202.87,7574.0,7574.0,0.0,0.0,0.0,False,1191.67
2025-02-03,1205.08,1205.08,7916.0,7916.0,0.0,0.0,0.0,False,1195.52
2025-02-04,1207.56,1207.56,8412.0,8412.0,0.0,0.0,0.0,False,1199.36
2025-02-05,1209.97,1209.97,8894.0,8894.0,0.0,0.0,0.0,False,1203.21
2025-02-06,1212.3,1212.3,9360.0,9360.0,0.0,0.0,0.0,False,1207.06
2025-02-07,1214.67,1214.67,9834.0,9834.0,0.0,0.0,0.0,False,1210.9
2025-02-08,1216.78,1216.78,10356.0,10356.0,0.0,0.0,0.0,False,1214.75
2025-02-09,1218.64,1218.64,10728.0,10728.0,0.0,0.0,0.0,False,1218.6
2025-02-10,1220.3,1220.3,11090.0,11090.0,0.0,0.0,0.0,False,1222.44
2025-02-11,1221.75,1221.75,11450.0,11450.0,0.0,0.0,0.0,False,1226.29
2025-02-12,1223.05,1223.05,11715.0,11715.0,0.0,0.0,0.0,False,1230.14
2025-02-13,1224.36,1224.36,12072.0,12072.0,0.0,0.0,0.0,False,1233.98
2025-02-14,1226.39,1226.39,12578.0,12578.0,0.0,0.0,0.0,False,1237.83
