date,elev_observed_ft,elev_adjusted_ft,storage_observed_af,storage_adjusted_af,demand_cfs,cumulative_withdrawal_af,elev_change_ft,at_rating_floor
2026-01-01,827.48,827.48,118789.32,118789.32,0.0,0.0,0.0,False
2026-01-02,827.58,827.58,119002.46,119002.46,0.0,0.0,0.0,False
2026-01-03,827.71,827.71,119279.98,119279.98,0.0,0.0,0.0,False
2026-01-04,828.02,828.02,119943.74,119943.74,0.0,0.0,0.0,False
2026-01-05,828.37,828.37,120696.28,120696.28,0.0,0.0,0.0,False
2026-01-06,828.44,828.44,120847.18,120847.18,0.0,0.0,0.0,False
2026-01-07,828.78,828.78,121581.82,121581.82,0.0,0.0,0.0,False
2026-01-08,829.14,829.14,122363.14,122363.14,0.0,0.0,0.0,False
2026-01-09,829.26,829.26,122624.32,122624.32,0.0,0.0,0.0,False
2026-01-10,829.24,829.24,122580.78,122580.78,0.0,0.0,0.0,False
2026-01-11,828.99,828.99,122037.2,122037.2,0.0,0.0,0.0,False
2026-01-12,828.42,828.42,120804.04,120804.04,0.0,0.0,0.0,False
2026-01-13,827.93,827.93,119750.79,119750.79,0.0,0.0,0.0,False
2026-01-14,827.36,827.36,118533.96,118533.96,0.0,0.0,0.0,False
2026-01-15,826.78,826.78,117306.28,117306.28,0.0,0.0,0.0,False
2026-01-16,826.34,826.34,116382.48,116382.48,0.0,0.0,0.0,False
2026-01-17,825.83,825.83,115320.46,115320.46,0.0,0.0,0.0,False
2026-01-18,824.97,824.97,113558.09,113558.09,0.0,0.0,0.0,False
2026-01-19,824.75,824.75,113113.35,113113.35,0.0,0.0,0.0,False
2026-01-20,824.46,824.46,112531.38,112531.38,0.0,0.0,0.0,False
2026-01-21,824.65,824.65,112912.1,112912.1,0.0,0.0,0.0,False
2026-01-22,824.83,824.83,113274.73,113274.73,0.0,0.0,0.0,False
2026-01-23,824.88,824.88,113375.78,113375.78,0.0,0.0,0.0,False
2026-01-24,824.88,824.88,113375.78,113375.78,0.0,0.0,0.0,False
2026-01-25,824.82,824.82,113254.52,113254.52,0.0,0.0,0.0,False
2026-01-26,824.78,824.78,113173.8,113173.8,0.0,0.0,0.0,False
2026-01-27,824.65,824.65,112912.1,112912.1,0.0,0.0,0.0,False
2026-01-28,824.86,824.86,113335.36,113335.36,0.0,0.0,0.0,False
2026-01-29,825.04,825.04,113700.14,113700.14,0.0,0.0,0.0,False
2026-01-30,825.21,825.21,114046.12,114046.12,0.0,0.0,0.0,False
2026-01-31,825.36,825.36,114352.66,114352.66,0.0,0.0,0.0,False
2026-02-01,825.52,825.52,114680.84,114680.84,0.0,0.0,0.0,False
2026-02-02,825.65,825.65,114948.5,114948.5,0.0,0.0,0.0,False
2026-02-03,825.75,825.75,115154.95,115154.95,0.0,0.0,0.0,False
2026-02-04,825.85,825.85,115361.9,115361.9,0.0,0.0,0.0,False
2026-02-05,825.92,825.92,115507.04,115507.04,0.0,0.0,0.0,False
2026-02-06,826.0,826.0,115673.2,115673.2,0.0,0.0,0.0,False
2026-02-07,826.1,826.1,115881.3,115881.3,0.0,0.0,0.0,False
2026-02-08,826.84,826.84,117432.8,117432.8,0.0,0.0,0.0,False
2026-02-09,828.28,828.28,120502.48,120502.48,0.0,0.0,0.0,False
2026-02-10,829.26,829.26,122624.32,122624.32,0.0,0.0,0.0,False
2026-02-11,829.99,829.99,124220.26,124220.26,0.0,0.0,0.0,False
2026-02-12,830.55,830.55,125453.15,125453.15,0.0,0.0,0.0,False
2026-02-13,831.05,831.05,126559.9,126559.9,0.0,0.0,0.0,False
2026-02-14,831.64,831.64,127871.9,127871.9,0.0,0.0,0.0,False
2026-02-15,832.19,832.19,129100.71,129100.71,0.0,0.0,0.0,False
2026-02-16,832.81,832.81,130493.33,130493.33,0.0,0.0,0.0,False
2026-02-17,833.47,833.47,131984.62,131984.62,0.0,0.0,0.0,False
2026-02-18,834.02,834.02,133234.78,133234.78,0.0,0.0,0.0,False
2026-02-19,834.58,834.58,134513.9,134513.9,0.0,0.0,0.0,False
2026-02-20,835.1,835.1,135707.3,135707.3,0.0,0.0,0.0,False
2026-02-21,835.57,835.57,136790.73,136790.73,0.0,0.0,0.0,False
2026-02-22,836.12,836.12,138064.24,138064.24,0.0,0.0,0.0,False
2026-02-23,837.11,837.11,140372.63,140372.63,0.0,0.0,0.0,False
2026-02-24,840.32,840.32,147999.46,147999.46,0.0,0.0,0.0,False
2026-02-25,845.32,845.32,160360.32,160360.32,0.0,0.0,0.0,False
2026-02-26,848.62,848.62,168802.48,168802.48,0.0,0.0,0.0,False
2026-02-27,850.74,850.74,174354.12,174354.12,0.0,0.0,0.0,False
2026-02-28,852.17,852.17,178156.32,178156.32,0.0,0.0,0.0,False
2026-03-01,853.45,853.45,181604.25,181604.25,0.0,0.0,0.0,False
2026-03-02,854.93,854.93,185637.03,185637.03,0.0,0.0,0.0,False
2026-03-03,856.26,856.26,189303.24,189303.24,0.0,0.0,0.0,False
2026-03-04,858.12,858.12,194513.74,194513.74,0.0,0.0,0.0,False
2026-03-05,860.42,860.42,201081.88,201081.88,0.0,0.0,0.0,False
2026-03-06,862.27,862.27,206468.04,206468.04,0.0,0.0,0.0,False
2026-03-07,863.85,863.85,211124.8,211124.8,0.0,0.0,0.0,False
2026-03-08,865.43,865.43,215832.03,215832.03,0.0,0.0,0.0,False
2026-03-09,866.89,866.89,220238.36,220238.36,0.0,0.0,0.0,False
2026-03-10,868.44,868.44,224966.98,224966.98,0.0,0.0,0.0,False
2026-03-11,869.85,869.85,229310.4,229310.4,0.0,0.0,0.0,False
2026-03-12,871.11,871.11,233227.36,233227.36,0.0,0.0,0.0,False
2026-03-13,872.4,872.4,237278.2,237278.2,0.0,0.0,0.0,False
2026-03-14,874.07,874.07,242581.58,242581.58,0.0,0.0,0.0,False
2026-03-15,875.77,875.77,248045.41,248045.41,0.0,0.0,0.0,False
2026-03-16,877.25,877.25,252859.85,252859.85,0.0,0.0,0.0,False
2026-03-17,878.35,878.35,256476.2,256476.2,0.0,0.0,0.0,False
2026-03-18,879.11,879.11,258995.46,258995.46,0.0,0.0,0.0,False
2026-03-19,879.73,879.73,261062.79,261062.79,0.0,0.0,0.0,False
2026-03-20,880.2,880.2,262637.3,262637.3,0.0,0.0,0.0,False
2026-03-21,880.64,880.64,264117.3,264117.3,0.0,0.0,0.0,False
2026-03-22,880.99,880.99,265298.51,265298.51,0.0,0.0,0.0,False
2026-03-23,881.26,881.26,266212.12,266212.12,0.0,0.0,0.0,False
2026-03-24,881.66,881.66,267569.54,267569.54,0.0,0.0,0.0,False
